task,seg_id,s_mean,s_sd
sz,20521,-0.820074439,0.605086863
sz,20522,-0.8658826351,0.6609579325
sz,20523,-0.7348386645,0.6530637741
sz,20524,-0.7626063228,0.6448381543
sz,20525,-0.8727964163,0.6494569778
sz,20526,-0.8879318237,0.636390686
sz,20527,-0.7611019015,0.6633292437
sz,20528,-0.7881957889,0.6037450433
sz,20529,-0.8347575665,0.6644508243
sz,20530,-0.8480728865,0.6166987419
sz,20531,-0.9260811806,0.6807388067
sz,20532,-1.216905594,0.5188292265
sz,20533,1.501047254,0.0870982632
sz,20534,-0.6798385382,0.6713801026
sz,20535,0.6800861359,0.08417585492
sz,20536,-0.8787872791,0.6173166037
sz,20537,1.296452761,0.1112405583
sz,20538,-0.8905541897,0.6332497001
sz,20539,-0.9009221792,0.6917281151
sz,20540,-0.9098514318,0.6749822497
sz,20541,-0.6207765341,0.7261072397
sz,20542,-0.7316098809,0.6390935183
sz,20543,-0.8586605787,0.6284399033
sz,20544,1.829797864,0.1986235529
sz,20545,1.12924099,0.08298840374
sz,20546,-0.6710880399,0.6796871424
sz,20547,-0.7156022787,0.6576176882
sz,20548,-0.7287158966,0.6376744509
sz,20549,-0.7495893836,0.6352512836
sz,20550,-0.8337272406,0.6529353261
sz,20551,-0.6194969416,0.7001883984
sz,20552,-0.9138035774,0.6347529888
sz,20553,-0.7703363895,0.6752955914
sz,20554,-0.835947156,0.47689116
sz,20555,-0.902993679,0.6616107821
sz,20556,-0.8640468121,0.6354670525
sz,20557,-0.9272495508,0.6234676242
sz,20558,0.6763614416,0.0773390308
sz,20559,-0.8362671137,0.6734111309
sz,20560,-0.7082391977,0.6791523099
sz,20561,-1.042107105,0.5462766886
sz,20562,-0.8193920851,0.6937360168
sz,20563,-0.5361260772,0.6785230041
sz,20564,-0.6875090003,0.624057889
sz,20565,-0.6409721971,0.6967517138
sz,20566,-0.6100474596,0.7424539924
sz,20567,-1.001380324,0.6285932064
sz,20568,-0.6767266989,0.6764872074
sz,20569,-0.9009968042,0.6571159959
sz,20570,-0.8965978622,0.6597418189
sz,20571,-0.6967325211,0.6687620282
sz,20572,0.3687705398,0.135405913
sz,20573,-0.07540634274,0.2559871078
sz,20574,-0.6473810673,0.6754576564
sz,20575,1.302855849,0.6541111469
sz,20576,1.342643976,0.6664705276
sz,20577,1.297736406,0.6105487943
sz,20578,1.809711099,0.1753198206
sz,20579,-0.7321501374,0.64534235
sz,20580,-0.9645141363,0.6814005375
sz,20581,-0.877307415,0.6442758441
sz,20582,-0.7238938212,0.6603862047
sz,20583,-0.4391136169,0.3435293734
sz,20584,-0.8215734959,0.650472939
sz,20585,-0.693597436,0.6547219753
sz,20586,-0.4694018364,0.7135276198
sz,20587,0.08749875426,0.9861121774
sz,20588,-0.7472859621,0.4288699031
sz,20589,-0.8847575188,0.6764885187
sz,20590,-0.9929037094,0.6588953137
sz,20591,-0.6778910756,0.6690081358
sz,20592,-0.947840929,0.6074762344
sz,20593,0.8870437145,0.0900234431
sz,20594,-0.9721804857,0.6336216927
sz,20595,1.313612223,0.6608929038
sz,20596,1.287280679,0.6683368683
sz,20597,0.3506546319,0.1428448111
sz,20598,1.266244531,0.6178732514
sz,20599,0.06363920122,0.1818119437
sz,20600,-0.1362955272,0.1664095372
sz,20601,1.337401271,0.6655046344
sz,20602,0.4458906651,0.1243613809
sz,20603,1.360859036,0.6256190538
sz,20604,1.320319891,0.6702262163
sz,20605,-0.4359855652,0.3695066869
sz,20606,-0.8616999388,0.6295734644
sz,20607,-0.679557085,0.6347272992
sz,20608,-0.9434905052,0.7031872869
sz,20609,1.354085207,0.6226504445
sz,20610,1.398104906,0.5911124349
sz,20611,1.356895924,0.6464224458
sz,20612,1.387929916,0.6161509156
sz,20613,1.330605268,0.6372626424
sz,20614,1.415423274,0.6364960074
sz,20615,1.350463152,0.6326003671
sz,20616,1.402400851,0.6119186878
sz,20617,1.328536153,0.6192908883
sz,20618,1.333352447,0.5947471857
sz,20619,1.287831187,0.6564497352
sz,20620,-0.9116905928,0.6446939707
sz,20621,-0.1175399125,0.318277806
sz,20622,1.374970078,0.6251351833
sz,20623,1.31659019,0.6110219955
sz,20624,1.3347646,0.6458975673
sz,20625,1.365270615,0.5851280689
sz,20626,1.315880775,0.6443973184
sz,20627,1.308978319,0.6600453258
sz,20628,1.373350024,0.6724869013
sz,20629,1.368770838,0.6825339198
sz,20630,-0.858961463,0.6909282207
sz,20631,1.345307231,0.6181014776
sz,20632,1.096762896,0.1212893948
sz,20633,1.390651822,0.5872531533
sz,20634,1.346655846,0.6047735214
sz,20635,1.351334929,0.6489655972
sz,20636,-0.958863616,0.6335321069
sz,20637,1.322431922,0.6329604387
sz,20638,1.354543209,0.6437007785
sz,20639,2.960570097,0.3784204423
sz,20640,1.326445818,0.6264200211
sz,20641,1.392484188,0.5769293904
sz,20642,1.363255143,0.6050114036
sz,20643,1.34192276,0.6053841114
sz,20644,1.303540468,0.6605693102
sz,20645,-0.8608886003,0.5960564017
sz,20646,-0.8600480556,0.6111007333
sz,20647,1.279022694,0.5922240019
sz,20648,1.368577719,0.6391479373
sz,20649,1.315428257,0.6642251611
sz,20650,1.320940733,0.6708291173
sz,20651,1.363176703,0.644779861
sz,20652,1.380988955,0.651461184
sz,20653,1.400135279,0.6462775469
sz,20654,1.343403578,0.6997368336
sz,20655,1.311636209,0.5999994278
sz,20656,1.316236377,0.6462033391
sz,20657,1.398440599,0.6141083241
sz,20658,2.451749086,0.2853771448
sz,20659,1.385338902,0.6518414617
sz,20660,1.303475261,0.6551293731
sz,20661,1.296016335,0.6490489841
sz,20662,-0.8157085776,0.658677578
sz,20663,1.445828676,0.6179586053
sz,20664,0.6924545169,0.1093163043
sz,20665,1.361369133,0.6482127309
sz,20666,1.378692269,0.6307672262
sz,20667,1.314139962,0.6747885942
sz,20668,1.314195752,0.6435285211
sz,20669,1.355290413,0.631100595
sz,20670,-0.9202340841,0.6526400447
sz,20671,1.254298925,0.6162316799
sz,20672,1.316137433,0.6406795382
sz,20673,1.33901453,0.5901483893
sz,20674,1.329489827,0.6534301043
sz,20675,1.370695949,0.653666079
sz,20676,1.268813133,0.6384344101
sz,20677,1.315959454,0.6486776471
sz,20678,1.369125128,0.6447095871
sz,20679,1.342644215,0.5725528002
sz,20680,1.341581106,0.6496577263
sz,20681,1.309601426,0.6638178229
sz,20682,1.310493588,0.6467185616
sz,20683,1.249755144,0.6279825568
sz,20684,1.385087967,0.6575434208
sz,20685,1.291822791,0.705763638
sz,20686,1.254935503,0.632543087
sz,20687,1.390542507,0.6261147857
sz,20688,1.370323181,0.647642076
sz,20689,1.299406171,0.60584867
sz,20690,1.420168042,0.6667531729
sz,20691,1.388533831,0.6376489997
sz,20692,0.6320149899,0.08657100797
sz,20693,1.364985228,0.6496466994
sz,20694,1.3314116,0.6210857034
sz,20695,1.219458461,0.3092918396
sz,20696,1.359504104,0.6876363158
sz,20697,1.332835078,0.6558260918
sz,20698,1.345134735,0.67540133
sz,20699,1.38735342,0.6465115547
sz,20700,1.312391996,0.6538318396
sz,20701,1.339728117,0.6122690439
sz,20702,1.359349847,0.6370020509
sz,20703,1.402884364,0.6604775786
sz,20704,-0.4630186558,0.3521541357
sz,20705,1.34619844,0.6181590557
sz,20706,1.432615876,0.2389287502
sz,20707,-0.883585453,0.6776854396
sz,20708,-1.000244379,0.6361415982
sz,20709,1.292046785,0.6369564533
sz,20710,1.357937455,0.6476278305
sz,20711,-0.8899885416,0.6901882887
sz,20712,1.343264818,0.6384081841
sz,20713,1.339411259,0.662019074
sz,20714,1.453073859,0.633821547
sz,20715,-0.8890622854,0.6012908816
sz,20716,1.39786303,0.596888721
sz,20717,1.592762828,0.2342959642
sz,20718,1.446534753,0.6514689326
sz,20719,1.384069204,0.6719520688
sz,20720,-0.96908319,0.6061469913
sz,20721,1.380972862,0.6694609523
sz,20722,1.3780756,0.6019693017
sz,20723,1.944149733,0.7223295569
sz,20724,1.919257283,0.6972672343
sz,20725,1.951999187,0.7106838226
sz,20726,1.012459278,0.3058760762
sz,20727,1.300033331,0.6183308363
sz,20728,1.318987727,0.6560798287
sz,20729,1.362426758,0.5988304615
sz,20730,1.315317512,0.6409583688
sz,20731,1.362150788,0.616740346
sz,20732,1.403225183,0.5765644908
sz,20733,-0.9136343002,0.6375413537
sz,20734,1.327131867,0.6622830629
sz,20735,1.298049212,0.6797145605
sz,20736,1.363792181,0.650420785
sz,20737,1.682857752,0.1437451243
sz,20738,1.296730161,0.6315360069
sz,20739,1.411623836,0.6100126505
sz,20740,1.300879121,0.6244074106
sz,20741,1.29753089,0.6092247367
sz,20742,1.39081347,0.6472092271
sz,20743,-0.8807317019,0.6671937108
sz,20744,1.269621611,0.6199036837
sz,20745,1.386084795,0.6509338021
sz,20746,1.32956636,0.6437397599
sz,20747,1.425578952,0.5843791366
sz,20748,1.340364695,0.5907641053
sz,20749,1.395411372,0.6851302385
sz,20750,1.340233445,0.6762806773
sz,20751,1.331825852,0.6047096252
sz,20752,1.332535982,0.6270941496
sz,20753,0.1467841119,0.1675291955
sz,20754,1.339877486,0.625186801
sz,20755,1.348035455,0.636654079
sz,20756,1.359884381,0.6662054062
sz,20757,1.290560603,0.6491802931
sz,20758,1.387829661,0.6797151566
sz,20759,1.306466579,0.645960629
sz,20760,1.344256639,0.6096313596
sz,20761,1.347135663,0.6349710226
sz,20762,1.370203495,0.6715834737
sz,20763,0.3900020421,0.4076457322
sz,20764,-0.8971946239,0.6241419911
sz,20765,1.317726135,0.6119377613
sz,20766,1.368434787,0.6477793455
sz,20767,-0.9419951439,0.6571791172
sz,20768,-0.9162369967,0.650171876
sz,20769,1.40029192,0.6071338654
sz,20770,1.379474282,0.6194825768
sz,20771,-0.2833562195,0.3550535142
sz,20772,1.365815639,0.6112295985
sz,20773,1.310138941,0.6756454706
sz,20774,1.400574327,0.6156007051
sz,20775,1.459917188,0.6148037314
sz,20776,1.332990766,0.6077847481
sz,20777,-0.19747293,0.3046337962
sz,20778,-0.9443509579,0.6077305079
sz,20779,-1.385272503,0.4697772563
sz,20780,1.434043765,0.6557326913
sz,20781,1.330052018,0.6200986505
sz,20782,1.383085608,0.6493242979
sz,20783,1.358509779,0.638585031
sz,20784,1.345915198,0.6435046196
sz,20785,1.315542817,0.6035731435
sz,20786,-0.9346705675,0.6661572456
sz,20787,-0.7877868414,0.6084364653
sz,20788,-0.2618493438,0.2809051275
sz,20789,1.307415962,0.6104225516
sz,20790,0.8327000737,0.4292330146
sz,20791,1.323372006,0.6634346247
sz,20792,1.29885745,0.6283086538
sz,20793,0.8508557677,0.4327455461
sz,20794,1.307983994,0.6793227196
sz,20795,-0.3834288716,0.3473492563
sz,20796,0.05677962303,0.1883408278
sz,20797,1.31135428,0.6484487653
sz,20798,1.305482268,0.6327579021
sz,20799,-0.8728901148,0.6732394099
sz,20800,-1.303529382,0.5689988732
sz,20801,-0.9198300838,0.6553030014
sz,20802,-1.188235641,0.5520998836
sz,20803,-1.015390396,0.582159698
sz,20804,-1.286943555,0.5261601806
sz,20805,-0.8947091103,0.6784209609
sz,20806,-0.8842405081,0.6199112535
sz,20807,-0.8706417084,0.6591842771
sz,20808,-0.9383643866,0.6473265886
sz,20809,-0.889175415,0.6390467882
sz,20810,-1.284796,0.4271487892
sz,20811,-1.13905859,0.521451354
sz,20812,-0.882917285,0.6731569767
sz,20813,-0.5479652286,0.3123452961
sz,20814,-1.057509899,0.5916301012
sz,20815,-0.9013756514,0.6408740282
sz,20816,-1.077996492,0.5817142725
sz,20817,-0.8058828712,0.6574664712
sz,20818,-1.048173666,0.586299181
sz,20819,-0.9755555391,0.6571589708
sz,20820,-0.855910182,0.6035588384
sz,20821,-1.008051634,0.5768756866
sz,20822,-1.089248896,0.574891448
sz,20823,-1.053643584,0.5656949878
sz,20824,-0.7974060178,0.6814237237
sz,20825,-0.927664876,0.5925417542
sz,20826,-1.138978362,0.6119279861
sz,20827,-0.8844058514,0.6836519241
sz,20828,-0.8942587376,0.632396698
sz,20829,-0.8699609041,0.6160505414
sz,20830,-0.9806526899,0.5921785235
sz,20831,-1.077497482,0.5263413787
sz,20832,-0.8810049295,0.6387196779
sz,20833,-0.9630627632,0.6035795212
sz,20834,-0.9522750378,0.6174921393
sz,20835,-0.9754779339,0.5522505045
sz,20836,-1.403560162,0.509405911
sz,20837,-1.03285718,0.6021058559
sz,20838,-1.252666593,0.545360744
sz,20839,-1.194516897,0.534435451
sz,20840,-1.16751945,0.539969027
sz,20841,-0.8941763639,0.647995472
sz,20842,-0.8666193485,0.6404673457
sz,20843,-1.221702814,0.5677892566
sz,20844,-0.8536894321,0.6841157079
sz,20845,-1.425870657,0.572406888
sz,20846,-0.8475499153,0.5897207856
sz,20847,-1.050332665,0.5465973616
sz,20848,-0.9296067953,0.6380937696
sz,20849,-0.846732378,0.6262283921
sz,20850,-1.086300611,0.4822979867
sz,20851,0.05416324735,0.2377831191
sz,20852,-1.151714087,0.5537437797
sz,20853,-1.015685439,0.5882644057
sz,20854,-1.064000607,0.5750098825
sz,20855,-0.8334488869,0.6387605667
sz,20856,-1.074763179,0.5987184048
sz,20857,-0.8963549137,0.639288187
sz,20858,-0.884809494,0.6127298474
sz,20859,-1.047960997,0.5393670797
sz,20860,-0.9352202415,0.6409553289
sz,20861,-0.9499131441,0.6251394153
sz,20862,-1.185622573,0.5340572
sz,20863,-1.252498984,0.5987309813
sz,20864,-0.9561948776,0.6028641462
sz,20865,-1.592029452,0.5978036523
sz,20866,-1.187625647,0.5636314154
sz,20867,-1.182085276,0.5469688773
sz,20868,-1.383261561,0.5623725653
sz,20869,-1.080060601,0.5498144031
sz,20870,-1.153542638,0.5245001912
sz,20871,-1.034115672,0.550155282
sz,20872,-0.8917179108,0.6595555544
sz,20873,-1.066010356,0.58465451
sz,20874,-0.8888939619,0.6333135366
sz,20875,-0.5401192307,0.4613409042
sz,20876,-1.26546526,0.5192542672
sz,20877,-1.06464231,0.4150052667
sz,20878,-1.193828821,0.5915289521
sz,20879,-1.05783546,0.5110117197
sz,20880,-1.414328575,0.5779100657
sz,20881,-0.9218004942,0.6207835078
sz,20882,-0.8873239756,0.6155697107
sz,20883,-0.3977332711,0.3978377581
sz,20884,-1.052435756,0.5870316029
sz,20885,-1.318478823,0.5965503454
sz,20886,-1.130441427,0.5220045447
sz,20887,-1.213263035,0.5243831277
sz,20888,-0.8364530802,0.6518415809
sz,20889,-0.9782292843,0.5847750902
sz,20890,-0.8768564463,0.6815774441
sz,20891,-1.022979021,0.6348292828
sz,20892,-1.374607921,0.5220986009
sz,20893,-0.7227200866,0.6891385317
sz,20894,-0.9528247118,0.6432240605
sz,20895,-0.8014838696,0.6817891002
sz,20896,-0.2419320643,0.4747879207
sz,20897,-0.8406169415,0.613738656
sz,20898,-0.659912467,0.4599948525
sz,20899,-0.8647742271,0.6611136794
sz,20900,0.6108139753,0.1034715995
sz,20901,0.7159469724,0.2910514772
sz,20902,-0.8752675056,0.6206528544
sz,20903,-1.38225317,0.6729128361
sz,20904,-0.6504611969,0.6636390686
sz,20905,-1.176369905,0.5275720358
sz,20906,-1.258739114,0.5580947995
sz,20907,-0.6826261878,0.6777819991
sz,20908,-0.5725835562,0.7161133289
sz,20909,-0.4969810843,0.8131964803
sz,20910,-0.9425252676,0.6174793839
sz,20911,-0.9780817032,0.6187246442
sz,20912,-0.8575024605,0.6606849432
sz,20913,-0.8609781265,0.4096915424
sz,20914,-0.7824736834,0.3854227662
sz,20915,-1.362732172,0.5458153486
sz,20916,-0.5370935798,0.3853597343
sz,20917,-0.3762549162,0.6977978945
sz,20918,-0.6665738821,0.7061681747
sz,20919,-0.4497073293,0.3836052716
sz,20920,-0.9683184624,0.6001159549
sz,20921,-0.7216518521,0.6287503242
sz,20922,-1.013816953,0.5483437181
sz,20923,-0.9190654755,0.6056331396
sz,20924,-0.6643191576,0.6805144548
sz,20925,-0.5906485319,0.7063263059
sz,20926,-0.7871784568,0.4240320027
sz,20927,-0.7197589874,0.6648493409
sz,20928,0.3166548014,0.1674363017
sz,20929,-0.6390663385,0.6767564416
sz,20930,-0.9503494501,0.5766163468
sz,20931,-0.7938966751,0.6318554878
sz,20932,-0.6709156036,0.6246205568
sz,20933,-0.9193429947,0.6389970779
sz,20934,-0.5677708983,0.7752756476
sz,20935,-0.8615804911,0.6513521075
sz,20936,0.1024897099,1.164034843
sz,20937,0.1078826413,1.070503473
sz,20938,0.1052511334,1.12832737
sz,20939,0.09775172174,1.109924674
sz,20940,0.03023783863,1.082722187
sz,20941,0.03700938821,1.09572804
sz,20942,0.1548982859,1.170004249
sz,20943,0.07844503224,1.047889948
sz,20944,0.1076864451,1.16384089
sz,20945,0.1152737513,1.172065735
sz,20946,0.1767535806,1.089467287
sz,20947,0.08972720057,1.182279587
sz,20948,0.1426183283,1.103169799
sz,20949,0.1648353785,1.097408056
sz,20950,0.156564042,1.065854311
sz,20951,0.2014739662,1.047069192
sz,20952,0.06029913574,1.098315001
sz,20953,0.09582104534,1.125641227
sz,20954,-0.05323036015,1.146886468
sz,20955,0.09441698343,1.096473336
sz,20956,0.09215304255,1.132659912
sz,20957,0.1517973691,1.066116691
sz,20958,-0.7972530723,0.6410470605
sz,20959,0.0393897593,1.163889527
sz,20960,-0.02688105404,1.099195004
sz,20961,0.07852168381,1.157668471
sz,20962,0.04628825188,1.066405892
sz,20963,0.09904675186,1.136460423
sz,20964,0.08731312305,1.073390722
sz,20965,0.217111975,1.139248848
sz,20966,-0.02205003798,1.109387875
sz,20967,0.07091344148,1.099900723
sz,20968,0.06382233649,1.130645871
sz,20969,0.007035270333,1.191546321
sz,20970,0.05527585745,1.067677379
sz,20971,0.02840259671,1.052969098
sz,20972,-0.0005940049887,1.041501641
sz,20973,0.04962077737,1.063271165
sz,20974,0.06231560558,1.054061651
sz,20975,0.143191725,1.091127515
sz,20976,0.1314277351,1.122068405
sz,20977,0.04537339509,1.16994071
sz,20978,0.06640262157,1.066910505
sz,20979,0.1069414169,1.116386533
sz,20980,0.1821916401,1.037528276
sz,20981,0.08634746075,1.039580941
sz,20982,0.1595169306,1.126496077
sz,20983,0.1802866161,1.084091306
sz,20984,0.03338631988,1.159560204
sz,20985,0.01288080215,1.167222857
sz,20986,0.1198529825,1.153084517
sz,20987,0.1486433148,1.101456285
sz,20988,0.07819009572,1.087095261
sz,20989,0.01651367545,1.139373422
sz,20990,-0.02642726898,1.167184353
sz,20991,0.0652359724,1.184673309
sz,20992,0.1395044476,1.128789902
sz,20993,0.1558411717,1.133398533
sz,20994,-1.268834114,0.6309985518
sz,20995,0.09518954903,0.2176493555
sz,20996,-0.9463992119,0.6261465549
sz,20997,-0.7510440946,0.6699426174
sz,20998,-0.7215304971,0.6567423344
sz,20999,0.2497466207,0.1737562716
sz,21000,-0.9004404545,0.6284778118
sz,21001,-0.8303105831,0.6287885904
sz,21002,-0.8653697968,0.6365523934
sz,21003,-0.6405961514,0.6770458221
sz,21004,-0.9549418688,0.5165784359
sz,21005,-0.6617011428,0.6657474041
sz,21006,0.3891103864,0.1978981793
sz,21007,-0.6993612647,0.6964764595
sz,21008,-0.702614367,0.6507823467
sz,21009,-0.8938280344,0.6635708213
sz,21010,-0.7321045399,0.4673215449
sz,21011,-1.087471962,0.5513040423
sz,21012,-0.7545117736,0.6439233422
sz,21013,-0.5159740448,0.8474448323
sz,21014,-1.32611692,0.556802094
sz,21015,-0.6826909781,0.694440484
sz,21016,-0.5273805261,0.8049393892
sz,21017,-0.6615319252,0.6634790897
sz,21018,-0.7121308446,0.6564816833
sz,21019,-0.6735645533,0.6617509127
sz,21020,-0.6552223563,0.6654976606
sz,21021,-0.8880275488,0.6835950017
sz,21022,-1.248978972,0.5892333388
sz,21023,-0.7542688847,0.6822088361
sz,21024,-0.7454542518,0.6914352775
sz,21025,-0.6641783714,0.6763235927
sz,21026,0.06927212328,1.139687896
sz,21027,-0.8914747238,0.6344540119
sz,21028,-0.8928749561,0.6712309122
sz,21029,-0.6390758157,0.6244717836
sz,21030,-0.6574678421,0.7167326808
sz,21031,-0.8710041046,0.6506900191
sz,21032,-0.6691563129,0.731263876
sz,21033,-0.7537961602,0.7073131204
sz,21034,-0.8215092421,0.64449054
sz,21035,-0.6824127436,0.7465830445
sz,21036,-0.6730813384,0.6891228557
sz,21037,0.5093957186,0.1280206591
sz,21038,-0.6391694546,0.6726739407
sz,21039,-0.8474674225,0.6600897312
sz,21040,-0.9930547476,0.5771894455
sz,21041,-0.6698269844,0.6577733159
sz,21042,1.347635984,0.6095397472
sz,21043,1.369956017,0.6377490163
sz,21044,1.390673757,0.6087969542
sz,21045,-0.9006581306,0.6365035772
sz,21046,-0.6143023968,0.709159255
sz,21047,-0.8892874718,0.6889977455
sz,21048,-0.7626871467,0.6408628225
sz,21049,-0.9432851076,0.6120480895
sz,21050,0.4906027019,0.1218304485
sz,21051,-0.7731808424,0.6445323229
sz,21052,-0.8651068211,0.677932322
sz,21053,-0.1362067759,0.480232209
sz,21054,-0.9293999672,0.4403162003
sz,21055,-0.670968771,0.4393133521
sz,21056,-0.9628396034,0.6162984967
sz,21057,-0.7476730943,0.6863434911
sz,21058,-0.7619073391,0.6437289715
sz,21059,0.2711248994,0.1650369018
sz,21060,-0.8906601667,0.6053439975
sz,21061,-0.508526206,0.8112362027
sz,21062,-1.011948586,0.6163170338
sz,21063,-0.9470715523,0.4621471465
sz,21064,-0.6024427414,0.3773470521
sz,21065,-0.6290122271,0.3471235633
sz,21066,-1.004775643,0.6331450343
sz,21067,-0.9183318615,0.6272955537
sz,21068,-0.9024664164,0.6681572199
sz,21069,-0.8081105351,0.6357239485
sz,21070,-1.202132344,0.5253492594
sz,21071,-0.8509219885,0.6460087299
sz,21072,-0.8934338093,0.6029483676
sz,21073,-0.8865815401,0.658393085
sz,21074,-0.6468134522,0.679848969
sz,21075,-0.9769250154,0.6130161881
sz,21076,-0.8213330507,0.6788470745
sz,21077,-0.6070904136,0.6967032552
sz,21078,-0.7540450096,0.6750052571
sz,21079,-0.9628508091,0.6249274611
sz,21080,-0.8383003473,0.6643089652
sz,21081,-0.8334453106,0.6644926071
sz,21082,-0.8583579063,0.6454089284
sz,21083,-0.7079510093,0.6768010855
