task,seg_id,s_mean,s_sd
spike,0,-1.859357715,1.28773725
spike,1,-1.466248274,1.090466738
spike,2,-2.020826101,0.6047589779
spike,3,-2.181461573,1.046659589
spike,4,-0.5202230215,0.1379526109
spike,5,-1.647120118,0.3995668888
spike,6,-1.775626063,1.27892673
spike,7,-1.056850433,0.2085005939
spike,8,-2.401321888,0.6514409184
spike,9,-1.851427317,1.125623822
spike,10,-2.048200369,0.5332459211
spike,11,-0.6458722949,0.141579181
spike,12,-0.1939505041,0.1687155515
spike,13,-0.9559395313,0.6421122551
spike,14,-1.801922321,1.242993355
spike,15,-2.250653744,0.596380651
spike,16,-1.241226554,0.2446558475
spike,17,-1.513661861,0.2986253202
spike,18,-0.3603815734,0.1992855221
spike,19,-2.008167505,1.153293848
spike,20,-2.249418736,0.5640227199
spike,21,-0.6472286582,0.1632320583
spike,22,-0.4967951477,0.1210428625
spike,23,-1.255478024,0.7676221132
spike,24,-2.258858919,0.6441985965
spike,25,-2.202618837,0.549141407
spike,26,-0.276979506,0.239723742
spike,27,-1.508928776,0.8560992479
spike,28,-1.365002871,0.8221755028
spike,29,-1.016772509,1.715684175
spike,30,-1.928118825,1.334691882
spike,31,-1.944110036,1.253938913
spike,32,-1.231680632,0.2380321771
spike,33,-2.502744675,0.5870167017
spike,34,-1.056919694,0.2034198046
spike,35,-1.13929522,0.8852059841
spike,36,-1.681634665,0.3443160951
spike,37,-1.907850266,1.196198821
spike,38,-1.803610444,1.153896928
spike,39,-2.054232597,0.4571695328
spike,40,-1.35647738,0.2866210341
spike,41,-1.160192609,0.2224637121
spike,42,-2.034091473,1.202770233
spike,43,-1.093692541,0.2446407229
spike,44,-1.005759001,0.2063764483
spike,45,-2.157902956,0.523013413
spike,46,-1.948516488,1.17000258
spike,47,-1.908703089,0.5330836773
spike,48,-1.685367942,0.4084641039
spike,49,-0.8186512589,0.1667705476
spike,50,-1.910421371,1.323861599
spike,51,-1.885385752,1.286529422
spike,52,-1.746345997,0.4020264447
spike,53,-2.419636488,0.583455801
spike,54,-2.03416872,1.242199183
spike,55,-1.99127996,0.4633548856
spike,56,-1.951928496,0.3768514693
spike,57,-2.493596554,0.5321208239
spike,58,-2.022169828,1.283663154
spike,59,-1.904652953,1.187784672
spike,60,-2.480432034,0.6346811652
spike,61,-1.535881162,0.3023375571
spike,62,-1.260804057,0.239068836
spike,63,-1.253908753,0.2445666939
spike,64,-1.757273436,0.9719654918
spike,65,-0.8204915524,0.2724398673
spike,66,-1.834722996,1.195713639
spike,67,-2.813579082,0.7299187183
spike,68,-0.2036263645,0.1519197524
spike,69,-1.965684772,1.280600786
spike,70,-1.511362314,0.3216305077
spike,71,-1.842211485,1.184844255
spike,72,-2.094672203,1.21724546
spike,73,-1.758046627,0.4416138232
spike,74,-1.853727937,1.277198553
spike,75,-1.440168142,0.3271026909
spike,76,-1.698369861,1.259720206
spike,77,-2.369659185,0.6017875075
spike,78,-1.313255191,0.3442940116
spike,79,-2.160763502,1.196930766
spike,80,-0.671217978,0.1429779083
spike,81,-2.105902672,0.4376657009
spike,82,-1.87088275,1.253180146
spike,83,-1.243874669,0.8254187107
spike,84,-2.240368843,1.251586199
spike,85,-0.7033805251,0.1464114785
spike,86,-1.753372788,1.174773693
spike,87,-0.685741961,0.1234550327
spike,88,-2.109834909,0.4972730875
spike,89,-1.84792912,1.242019892
spike,90,-1.226593256,0.4545684755
spike,91,-1.820089936,0.3776963949
spike,92,-0.2795680761,0.1837466359
spike,93,-2.06996274,1.26206708
spike,94,-1.889156938,0.5251107216
spike,95,-1.990512013,1.305503368
spike,96,-2.017748356,1.344061494
spike,97,-1.58147049,1.193357706
spike,98,-1.832316637,0.4636448026
spike,99,-0.4655789435,0.1795481592
spike,100,-0.908324182,0.1729026437
