session_id,trial_index,seg_id,task_code,pattern_class_true,target_present,response_label,response_y,is_correct,reaction_time_ms,answer_changes,n_interactions,select_ms,montage,gain_uv,bandpass,notch,window_s,max_hw,ess,total_var,expected_loss_chosen,rejuv,post_decision
ac6e25fa-bd3a-44ad-8aed-1f402086901a,0,9949,spike,spike,0,No (no spike),0,True,4637.9,0,0,551.9631814548608,average,200.0,0.5-70 Hz,60 Hz,10.0,0.17839051907062514,461.19466616873706,13.661535434045835,13.560455795728728,False,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,1,6465,spike,spike,0,No (no spike),0,True,1794.3,0,3,455.958445343904,bipolar,200.0,0.5-70 Hz,60 Hz,10.0,0.17730249111133567,368.28481745605785,13.434835468147782,13.44999720573138,False,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,2,4755,spike,spike,0,No (no spike),0,True,4615.4,0,1,463.05652192701467,average,70.0,0.5-70 Hz,60 Hz,15.0,0.17696535880866132,302.34787539546306,13.228076926207859,13.269833256700137,False,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,3,9748,spike,spike,0,No (no spike),0,True,2404.6,0,1,548.3183880427864,bipolar,70.0,0.5-70 Hz,60 Hz,10.0,0.1746923766325028,599.9999999999999,13.105045556714815,13.107844576388743,True,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,4,7949,spike,spike,0,Yes (spike present),1,False,11440.2,0,1,7.466596278696873,average,70.0,0.5-70 Hz,60 Hz,10.0,0.17564799285454624,599.9999999999999,13.350835534167128,13.012206498128082,True,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,5,3027,spike,spike,0,No (no spike),0,True,7104.6,0,2,733.3797856619493,bipolar,70.0,0.5-70 Hz,60 Hz,15.0,0.17667822081740525,583.0894673682144,13.300355389971497,13.27499613268279,False,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,6,6489,spike,spike,1,Yes (spike present),1,True,2372.1,0,1,569.7561061650259,average,200.0,0.5-70 Hz,60 Hz,10.0,0.17538828133533674,544.639481317939,13.240384756441049,13.223985193681498,False,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,7,11067,spike,spike,1,Yes (spike present),1,True,1666.6,0,0,836.6457146099863,laplacian,50.0,0.5-70 Hz,60 Hz,10.0,0.17549243734589648,478.77909970789244,13.15099815333095,13.17675068150141,False,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,8,2717,spike,spike,0,No (no spike),0,True,5514.3,0,1,751.2887027204114,average,70.0,0.5-70 Hz,60 Hz,10.0,0.17548543696846375,441.2318022090177,13.117591837200099,13.089021117127317,False,False
ac6e25fa-bd3a-44ad-8aed-1f402086901a,9,8146,spike,spike,1,Yes (spike present),1,True,2558.4,0,0,11.214670100886764,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.1758193637989936,339.84567297185816,12.987268247059058,13.058034437104174,False,False
