session_id,trial_index,seg_id,task_code,pattern_class_true,target_present,response_label,response_y,is_correct,reaction_time_ms,answer_changes,n_interactions,select_ms,montage,gain_uv,bandpass,notch,window_s,max_hw,ess,total_var,expected_loss_chosen,rejuv,post_decision
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,0,9748,spike,spike,0,No (no spike),0,True,14939.6,0,8,884.0919447394093,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17832044104889327,486.17059099749736,13.937410298248455,14.046602054719056,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,1,472,spike,spike,0,No (no spike),0,True,5622.3,0,12,25.971051468021145,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17842808924407472,398.9600236622388,13.69233401408276,13.7392027648114,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,2,1918,spike,spike,0,Yes (spike present),1,False,5687.8,0,9,99.7058465505648,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17908237514819403,429.94949030365774,13.786434069963189,13.539859704646393,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,3,1417,spike,spike,0,No (no spike),0,True,10526.0,0,9,1335.0718861465486,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17762489408508542,438.57702426834743,13.616080808688373,13.685265112888452,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,4,1230,spike,spike,0,No (no spike),0,True,10033.9,0,9,1235.877510963621,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17740605477208887,431.1285240657848,13.46075594702059,13.526045174919055,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,5,8146,spike,spike,1,Yes (spike present),1,True,5110.5,0,8,869.6529361988651,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.1777230957311003,384.9961884479428,13.149712569534401,13.369863152623438,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,6,6489,spike,spike,1,Yes (spike present),1,True,22402.7,0,13,7.226222149991909,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17754739801407488,349.02264916406017,12.95297264734785,13.074229777104161,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,7,11067,spike,spike,1,No (no spike),0,False,17451.9,0,17,14.352988481435894,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.1778390247491598,369.95923260807484,13.270753888335477,12.893437380629985,False,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,8,866,spike,spike,0,Yes (spike present),1,False,13013.2,0,10,1244.1488874848133,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17496939362778474,599.9999999999999,12.788979191900177,13.20406630870677,True,False
ff055fcd-ad70-41a3-9996-c0f5ce4eec60,9,11870,spike,spike,1,Yes (spike present),1,True,20589.5,0,9,14.788214511621424,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17509092849252222,584.8442864806462,12.718437164035834,12.745018373261843,False,False
