cand_id,tier,true_t_spike,true_ell_spike,hat_t_spike,hat_ell_spike,sd_t_spike,sd_ell_spike,n_trials_spike,decision_spike,true_t_seizure,true_ell_seizure,hat_t_seizure,hat_ell_seizure,sd_t_seizure,sd_ell_seizure,n_trials_seizure,decision_seizure,true_t_lpd,true_ell_lpd,hat_t_lpd,hat_ell_lpd,sd_t_lpd,sd_ell_lpd,n_trials_lpd,decision_lpd,true_t_gpd,true_ell_gpd,hat_t_gpd,hat_ell_gpd,sd_t_gpd,sd_ell_gpd,n_trials_gpd,decision_gpd,true_t_lrda,true_ell_lrda,hat_t_lrda,hat_ell_lrda,sd_t_lrda,sd_ell_lrda,n_trials_lrda,decision_lrda,true_t_grda,true_ell_grda,hat_t_grda,hat_ell_grda,sd_t_grda,sd_ell_grda,n_trials_grda,decision_grda,n_trials_total
0,expert,0.18941619262584844,1.5889982405224126,0.09949982169566737,1.2838359351668382,0.10035537325124905,0.3527721430598521,16,pass,-0.14074704716139852,1.7792698166672283,-0.07755285451575934,1.2793952216015283,0.0570792706091161,0.18486921376937562,56,pass,-0.2530842942092105,1.647371968812444,-0.05593996535779903,1.500277736466474,0.12333500267697381,0.4663818402320901,10,pass,-0.12465489250747044,1.4896013206666623,-0.016401180132389878,1.5480591876431067,0.11742064337372358,0.4619677968873772,10,pass,0.00826519586944872,1.7105952838749734,-0.13808838971906767,1.1493807520428398,0.140021029051345,0.445302422553705,10,pass,-0.46500615492776687,1.9427072535693362,-0.23343526684407914,1.018126722989104,0.09256259898417019,0.23316766773892503,36,pass,138
1,expert,-0.29707503685270903,1.7283766519793125,-0.1329379364333944,1.2611194202719282,0.12072738079925383,0.3436800582027362,17,pass,0.06013702285892117,1.3912126693375153,0.016258954159942118,1.214061480939129,0.05090119682102824,0.14672268552213757,91,pass,-0.021214450689550187,1.4828949001319987,0.05402964010710373,1.0581329837453928,0.1839815252233016,0.40981288920364695,11,pass,-0.23714396100104676,1.2530793289124968,-0.020931669643389657,1.580812100244923,0.12017258702759324,0.4646512200611977,10,pass,-0.4796465730795543,1.3365701060658295,-0.05539849464012357,1.4665513055455357,0.13897652142720004,0.4644512414304881,10,pass,0.10261042677606101,1.459494566707986,-0.12405873358346554,1.2811702588470049,0.12201182650728222,0.38077296479917866,14,pass,153
2,expert,-0.057996379213862775,1.4407022472331559,-0.1172983261309998,1.1057015899289202,0.11282167515946612,0.26822039649776747,28,pass,-0.18399872056243938,1.8577030717717178,-0.07753965048706599,1.378953469889703,0.07292531283490547,0.23865600163770054,36,pass,0.13501290368188787,1.2825686853621605,0.13688937897460127,1.1045189009942376,0.2212710706096849,0.4464021379276763,10,pass,0.06958035239409431,1.8085424373106993,0.12129065283314713,1.1939597734702223,0.14217755194721177,0.4551384081630396,10,pass,-0.11135923503063626,1.5983662764348905,-0.006165029562113038,1.5192226388802912,0.1434678116256512,0.46854653736771323,10,pass,-0.22044365981084463,1.3567193633253953,-0.13875036957418585,1.3086916871341392,0.15988737346591392,0.4140241812881866,12,pass,106
3,expert,0.10889247484063541,1.366840526642621,0.030423330806871984,1.2414894686266063,0.1233074991570535,0.3346480922148548,18,pass,-0.03081141191656471,1.6706994826239132,-0.057495757285376696,1.4151509142331482,0.0792936623224372,0.2692079188867996,28,pass,0.21610659574355143,1.1743393438211476,0.04535230558434694,1.037938014491163,0.17833923577982394,0.3813626238600043,13,pass,-0.299959757773639,1.8858135699926195,-0.17822917366471486,1.233370337624527,0.14711361010153884,0.450443022282725,10,pass,0.2715143573866378,1.1844196167366476,0.1260449939054988,1.0861111593442974,0.21557737930232695,0.44662209217069165,10,pass,-0.012736805794048282,1.6403035567584276,-0.11522003449240516,1.2946697482700436,0.11813163389974564,0.3852917758330688,14,pass,93
4,expert,-0.04068226718894247,1.9393796924881264,0.02075211728129847,1.5384618474393754,0.13154974592907348,0.4583401306817143,10,pass,-0.31543983013654076,1.7366821682509392,-0.14570253759246993,1.152830059161887,0.045726635630891556,0.12711456550999622,120,refer,0.07459030835238437,1.673385091622442,0.12368980217032884,1.1506477954589949,0.20598949728691096,0.44731591908213686,10,pass,-0.22874801842031803,1.5008716509425097,-0.04014466944540897,0.9455827470237951,0.18614647394779152,0.38827037933214237,12,pass,-0.3431891903516642,2.0292107678770286,-0.2043366147833882,1.0978990134629498,0.1823929792733668,0.43775535098637186,10,pass,-0.05583030109355283,1.782380299005612,-0.10504412468190841,1.2892800591139788,0.12653565030395483,0.3830165337053634,14,pass,176
5,expert,0.18353449749224576,1.581312468664444,0.02421275815213999,1.548317315217381,0.13372208263218288,0.4552977587361021,10,pass,0.0881413489527122,1.728387580934026,0.07161721693095913,1.2682488802958745,0.06297459801525124,0.18015307232985053,63,pass,0.06850307819068245,1.314163122199997,0.04175542400335817,0.8736724391198124,0.17868399103061908,0.2973190564659388,24,pass,0.09478941339760269,1.9476990876879894,0.06758148891191357,1.4552495114120716,0.15087645382364964,0.46324677423119476,10,pass,-0.05346168639065538,2.018458996785128,-0.11806371096615871,1.165808517399575,0.13842981014314223,0.45105355111377915,10,pass,0.23766557251928042,1.9495504735797515,0.12338598317605183,1.2754130859433868,0.13495865595770334,0.38086899377950484,14,pass,131
6,expert,-0.16847133379648235,1.727744040746716,-0.05719471259133956,1.1797196796565863,0.11463663784702634,0.29774520645440716,23,pass,-0.3612265240765826,1.8247025922718043,-0.1249512899417555,1.2170804153662385,0.05264638329386142,0.14734156969551845,90,pass,-0.09681709822953971,1.5877169943815854,-0.13261947687683245,1.0942941719337602,0.1663073433470352,0.42249879984197725,11,pass,0.01798568659615725,1.6726572750835542,-0.018631123020750814,1.526624346585128,0.13244422513069593,0.4568727029693939,10,pass,0.03499541864073803,1.7944211720596028,0.27637018813369485,0.9980280210046206,0.19502334321510464,0.43180474927580914,10,pass,0.018443557157346843,2.093067760050513,0.006836008906004903,1.5044977211915722,0.1369565162741516,0.463194799428248,10,pass,154
7,expert,-0.1564329884950377,1.5458729252704861,-0.04972884191214881,1.2213770964710873,0.1179751463789848,0.3268819616734496,19,pass,-0.01895925071876854,1.9619637801438534,-0.005495455952159394,1.572514830049073,0.0889200950536401,0.3646686470745762,16,pass,0.23124736079098349,1.5715757485180561,0.15162307648079484,1.2342767785135922,0.1270232550755995,0.45274937719893116,10,pass,-0.29796162387307445,1.754018511294311,-0.015710017718684355,1.6017427519200669,0.11588171817399703,0.4661558105314212,10,pass,0.07242258294131224,1.955630836926763,0.15593708901865821,1.2048694128792634,0.13027811072909998,0.4511139090478025,10,pass,-0.06165563007957689,2.233972949642449,0.0026549914589716326,1.566581260978052,0.12279936244566002,0.47465644100077115,10,pass,75
8,expert,0.05841250882071031,1.9372437613908875,0.12602579348778417,1.3152610469524737,0.12339252602469393,0.37773136055801293,14,pass,-0.20743395198916456,2.0956209981417837,-0.08114307255667828,1.3812990299490058,0.07466669939239251,0.23855903589917116,36,pass,-0.20480788830315155,1.9955696715622078,-0.19623923161462736,1.2191772730181698,0.16371328156520806,0.4362323525691794,10,pass,0.13010178549381024,1.7862596792336396,0.08296105277570841,1.4473071607721388,0.14926342652609467,0.4621744624023171,10,pass,-0.02011543671515093,1.7445370103688478,-0.12531761135106811,1.1320627762442004,0.21409981477111478,0.4468290196837254,10,pass,0.09444189920587369,1.3919821168960518,0.0697308574691812,1.1904390826633253,0.13792962309865425,0.32907486610997594,19,pass,99
9,expert,0.056816278655210266,1.6832283759249311,0.02064705410375074,1.5740955079374728,0.12013321711072908,0.46484337914101864,10,pass,-0.2667270571019828,1.7444021279210973,-0.08975812038824114,1.3028907319074794,0.06187337157114841,0.1985588886408684,50,pass,0.05052384459656222,1.7033907038979756,-0.014917864298330424,0.9670519948015938,0.13993931698252446,0.3421282750407066,16,pass,-0.11799518983546864,1.4551157195987312,-0.1685340413105142,1.1967155934783957,0.1360454898126378,0.4501614619905457,10,pass,-0.11643279070061673,1.15030286849571,0.11670925941665278,1.1779883449569228,0.19291334791065554,0.44964913883858826,10,pass,0.2239014016044378,1.3711235483959712,-0.0014197907237944944,1.5523296337955155,0.12567016274823134,0.4732099427598765,10,pass,106
