mode,tier,candidate,task_idx,delta,questions
random,expert,0,0,0.1,132
random,expert,0,0,0.12,64
random,expert,0,0,0.15,41
random,expert,0,1,0.1,136
random,expert,0,1,0.12,96
random,expert,0,1,0.15,44
random,expert,0,2,0.1,254
random,expert,0,2,0.12,140
random,expert,0,2,0.15,59
random,expert,0,3,0.1,-1
random,expert,0,3,0.12,-1
random,expert,0,3,0.15,67
random,expert,0,4,0.1,-1
random,expert,0,4,0.12,-1
random,expert,0,4,0.15,-1
random,expert,0,5,0.1,-1
random,expert,0,5,0.12,-1
random,expert,0,5,0.15,190
random,expert,1,0,0.1,108
random,expert,1,0,0.12,64
random,expert,1,0,0.15,30
random,expert,1,1,0.1,88
random,expert,1,1,0.12,61
random,expert,1,1,0.15,44
random,expert,1,2,0.1,-1
random,expert,1,2,0.12,176
random,expert,1,2,0.15,114
random,expert,1,3,0.1,-1
random,expert,1,3,0.12,-1
random,expert,1,3,0.15,203
random,expert,1,4,0.1,-1
random,expert,1,4,0.12,-1
random,expert,1,4,0.15,-1
random,expert,1,5,0.1,-1
random,expert,1,5,0.12,-1
random,expert,1,5,0.15,179
random,expert,2,0,0.1,114
random,expert,2,0,0.12,75
random,expert,2,0,0.15,45
random,expert,2,1,0.1,162
random,expert,2,1,0.12,108
random,expert,2,1,0.15,69
random,expert,2,2,0.1,-1
random,expert,2,2,0.12,-1
random,expert,2,2,0.15,119
random,expert,2,3,0.1,290
random,expert,2,3,0.12,209
random,expert,2,3,0.15,121
random,expert,2,4,0.1,-1
random,expert,2,4,0.12,214
random,expert,2,4,0.15,23
random,expert,2,5,0.1,-1
random,expert,2,5,0.12,-1
random,expert,2,5,0.15,-1
random,expert,3,0,0.1,92
random,expert,3,0,0.12,62
random,expert,3,0,0.15,19
random,expert,3,1,0.1,99
random,expert,3,1,0.12,81
random,expert,3,1,0.15,34
random,expert,3,2,0.1,213
random,expert,3,2,0.12,103
random,expert,3,2,0.15,91
random,expert,3,3,0.1,-1
random,expert,3,3,0.12,-1
random,expert,3,3,0.15,176
random,expert,3,4,0.1,-1
random,expert,3,4,0.12,123
random,expert,3,4,0.15,110
random,expert,3,5,0.1,-1
random,expert,3,5,0.12,-1
random,expert,3,5,0.15,185
random,expert,4,0,0.1,86
random,expert,4,0,0.12,66
random,expert,4,0,0.15,28
random,expert,4,1,0.1,165
random,expert,4,1,0.12,102
random,expert,4,1,0.15,21
random,expert,4,2,0.1,-1
random,expert,4,2,0.12,-1
random,expert,4,2,0.15,-1
random,expert,4,3,0.1,-1
random,expert,4,3,0.12,234
random,expert,4,3,0.15,184
random,expert,4,4,0.1,-1
random,expert,4,4,0.12,-1
random,expert,4,4,0.15,-1
random,expert,4,5,0.1,-1
random,expert,4,5,0.12,-1
random,expert,4,5,0.15,118
random,expert,5,0,0.1,82
random,expert,5,0,0.12,47
random,expert,5,0,0.15,33
random,expert,5,1,0.1,135
random,expert,5,1,0.12,87
random,expert,5,1,0.15,49
