confirmed_canonical_name,confirmed_sparcnet_name,sigma_sz,theta_sz,l_sz,sigma_lpd,theta_lpd,l_lpd,sigma_gpd,theta_gpd,l_gpd,sigma_lrda,theta_lrda,l_lrda,sigma_grda,theta_grda,l_grda,sigma_iic,theta_iic,l_iic,sigma_spike,theta_spike,l_spike
Aaron F. Struck,Aaron F. Struck,0.4372429034772711,1.2778925983636296,0.8272663951127393,0.5960197592414012,0.7599583753138485,0.5174814593767395,0.7192726234726415,1.6531090636338053,0.3295148227905259,0.6326412830698775,2.0,0.4578517108818772,0.5836737089302866,2.0,0.5384131698798674,0.5224064107888275,-0.0541885759528535,0.6493094292942421,0.8969297162224659,-0.0502732273144229,0.10877777426023605
Aline Herlopian,Aline Herlopian,0.5565158339031689,1.193923537698041,0.5860596560151181,0.6259408778181432,0.8363849111113542,0.4684993567221527,0.6958580949283072,1.4579660920572663,0.362609526032675,0.5962951044527349,2.0,0.5170195927597699,0.5428890449908234,2.0,0.6108503169613321,0.4925902172376549,-0.0706388451462819,0.7080776529373692,0.6984321190412134,-0.3712055187444084,0.3589172860508636
Hiba A. Haider,Hiba A. Haider,0.6388169162239965,1.609362698509592,0.4481373817395592,0.738199748354476,0.9235431994393596,0.3035408292770095,0.6899165066699667,1.4447179494707685,0.3711846935386417,0.6576285603062483,1.835614052259234,0.4191150050606305,0.608169982009497,1.973275120980095,0.4973008604164512,0.6206182916850244,-0.3114708046873271,0.4770390532078454,0.6086222993650668,-0.1851156841198922,0.4965574017615475
Ioannis Karakis,Ioannis Karakis,0.4898647886931774,0.8995237761606518,0.7136258673988048,0.6185863959254476,0.7024935926143755,0.4803184106874287,0.5882845745457208,0.9646417208543802,0.5305444778435191,0.6108977112021664,1.2932481871423265,0.4928257459332601,0.5848657484931663,1.4257424350137924,0.5363729478423551,0.6803535785855581,-1.0372277134952594,0.3851426474405932,0.7057275407702567,-0.3301491486235445,0.3485260355638955
Jenn Kim,Jenn Kim,0.7350399138974218,1.5038803958667093,0.3078304766214003,0.7439673139224995,1.7947032478103129,0.2957581780139895,0.8128789489579231,1.6158487231153602,0.207173074790876,0.4920978803258981,2.0,0.7090776385246875,0.7476713181177966,2.0,0.2907918118594262,0.7135105267267351,0.2688523122262585,0.3375580885276397,0.7641659336912158,-0.1473771068700137,0.2689703227027925
Jonathan J. Halford,Jonathan J. Halford,0.7337326909562388,1.2282208009811963,0.3096104979562508,0.609974773272304,0.5329680914371395,0.4943376779612387,0.7478886333664071,1.2052067066145098,0.290501197966049,0.7549054138757678,1.300124907868,0.2811628172160059,0.6952228505656087,0.8533782693102678,0.3635228365181833,0.5171893280790972,-1.6996026778348043,0.6593462663284537,0.7879418746618057,0.6708829476540241,0.2383309549644266
M. Brandon Westover,M. Brandon Westover,0.3057951039084702,0.3824626768975772,1.1848399963790173,0.61552549175123,1.038513153614674,0.4852789178850746,0.5945872699072376,1.436413713876869,0.5198877781541585,0.5297556516057721,1.2743771907030073,0.6353394134512361,0.5235720560706147,1.5276101944913112,0.6470806152196532,0.5227664262308297,-0.5491163782372874,0.6486205184395221,0.6928022689406921,-0.6892757943910264,0.36701064670940725
Marcus Ng,Marcus Ng,0.5526998150969678,1.107473760704666,0.5929402546879952,0.6443031878155326,1.414263107407442,0.4395858751304994,0.5703053024617958,1.6804682422672963,0.5615834431918241,0.560257440487454,1.0236836916172822,0.5793588857334128,0.579612245057996,0.868650283920525,0.5453959420196526,0.6007556914843476,-0.703101854056569,0.5095669304456465,0.7210511496220732,-0.2205407593568934,0.3270452016031309
Olga Taraschenko,Olga Taraschenko,0.6062820146686125,0.2185370673497091,0.5004100304239175,0.9396903293578698,1.9276107785898675,0.0622048948476583,0.8377302399450249,2.0,0.177059139697477,0.6047288423830823,1.0408833518211704,0.5029751158285586,0.5730865535710882,1.720493385636612,0.556718520322122,0.6408934662078802,-0.5320907117436168,0.4448920352377931,0.775485273596728,0.3367208846745381,0.2542662861051924
Gamal Osman,Gamal Osman,0.764840117854559,1.076431695597056,0.2680884632669151,0.8640509909860312,1.6996814118989203,0.1461234945745928,0.6899374947722429,2.0,0.3711542727807125,0.486192320735867,2.0,0.7211510116800781,0.5637532976439236,2.0,0.5731385387031135,0.6824712624367419,0.6225636993918229,0.3820348591293102,0.5620771950632332,-0.4534112917864438,0.5761160807573997
