,t_spike,ell_spike,t_seizure,ell_seizure,t_lpd,ell_lpd,t_gpd,ell_gpd,t_lrda,ell_lrda,t_grda,ell_grda
t_spike,1.0,-0.6544452644772805,0.5509155949844065,-0.06363334452911736,-0.8321119431309543,-0.6387000504523773,-0.8424319541735741,-0.6410395227983178,-0.6494314683245322,-0.6221434925699311,-0.7582620280966647,-0.6498930199655746
ell_spike,-0.6544452644772805,1.0,-0.11950647352820866,0.7252437614330073,0.9094852305668647,0.9917175937575403,0.9039873361966666,0.9934720281516751,0.9604744927237493,0.988556891192059,0.8654518807125499,0.9926704228584424
t_seizure,0.5509155949844065,-0.11950647352820866,1.0,0.5335077546230922,-0.4369318333746048,-0.0577829878351376,-0.4344718402122031,-0.053186937723623,-0.05339467463535298,-0.006928116099002808,-0.15262708644045447,-0.04140428526506002
ell_seizure,-0.06363334452911736,0.7252437614330073,0.5335077546230922,1.0,0.40828221189855235,0.7620691556267792,0.39664156298941605,0.7608740928356881,0.7383978445392084,0.784593648941623,0.5706311709870923,0.7580278372180979
t_lpd,-0.8321119431309543,0.9094852305668647,-0.4369318333746048,0.40828221189855235,1.0,0.894788305115548,0.9941733599714296,0.893704232445577,0.8719058244552996,0.8741568067805168,0.8413419365066402,0.8868462962220326
ell_lpd,-0.6387000504523773,0.9917175937575403,-0.0577829878351376,0.7620691556267792,0.894788305115548,1.0,0.8899098238407643,0.9992692243432848,0.9685118239036626,0.9965243860916099,0.8735763760421613,0.9947137193367417
t_gpd,-0.8424319541735741,0.9039873361966666,-0.4344718402122031,0.39664156298941605,0.9941733599714296,0.8899098238407643,1.0,0.8894656012136694,0.8671609695398289,0.8704643133444434,0.8416799362008771,0.883439614462969
ell_gpd,-0.6410395227983178,0.9934720281516751,-0.053186937723623,0.7608740928356881,0.893704232445577,0.9992692243432848,0.8894656012136694,1.0,0.967869927200273,0.9974456249293038,0.8734985234395987,0.9972281465807231
t_lrda,-0.6494314683245322,0.9604744927237493,-0.05339467463535298,0.7383978445392084,0.8719058244552996,0.9685118239036626,0.8671609695398289,0.967869927200273,1.0,0.9708666021874741,0.8900629935146986,0.9644128459698539
ell_lrda,-0.6221434925699311,0.988556891192059,-0.006928116099002808,0.784593648941623,0.8741568067805168,0.9965243860916099,0.8704643133444434,0.9974456249293038,0.9708666021874741,1.0,0.8705000588767005,0.9966008605814753
t_grda,-0.7582620280966647,0.8654518807125499,-0.15262708644045447,0.5706311709870923,0.8413419365066402,0.8735763760421613,0.8416799362008771,0.8734985234395987,0.8900629935146986,0.8705000588767005,1.0,0.8734958088876503
ell_grda,-0.6498930199655746,0.9926704228584424,-0.04140428526506002,0.7580278372180979,0.8868462962220326,0.9947137193367417,0.883439614462969,0.9972281465807231,0.9644128459698539,0.9966008605814753,0.8734958088876503,1.0
