seg_id,s_mean,n_raters,pos_rate
20523,-0.8428306703820889,13,0.0
20524,-0.6675969801821281,21,0.14285714285714285
20527,-0.7068008209275058,21,0.047619047619047616
20528,-0.6489383565120506,21,0.23809523809523808
20532,-0.8470007416694965,21,0.0
20533,-0.6816228761311037,21,0.09523809523809523
20534,-0.845707592692661,20,0.0
20535,-0.845707592692661,20,0.0
20537,-0.845707592692661,20,0.0
20541,-0.841719251700359,12,0.0
20542,-0.845707592692661,20,0.0
20544,-0.6265731429551771,19,0.3684210526315789
20545,-0.8444630817503529,17,0.0
20546,-0.8416921884671007,11,0.0
20547,-0.845707592692661,20,0.0
20548,-0.845707592692661,20,0.0
20549,-0.841719251700359,12,0.0
20551,-0.6854929466371674,20,0.1
20552,-0.7000445808094327,13,0.07692307692307693
20554,-0.4654260078550461,20,0.95
20558,-0.8443435468598685,15,0.0
20560,-0.6335558656975931,17,0.35294117647058826
20561,-0.8443435468598685,15,0.0
20563,-0.6746061499397398,13,0.15384615384615385
20564,-0.8443435468598685,15,0.0
20565,-0.8428306703820889,13,0.0
20566,-0.8428306703820889,13,0.0
20567,-0.8436916318507918,13,0.0
20568,-0.845707592692661,20,0.0
20571,-0.716886350072207,17,0.058823529411764705
20572,-0.8443435468598685,15,0.0
20573,-0.845707592692661,20,0.0
20574,-0.841719251700359,12,0.0
20575,-0.7628040322012064,3,0.0
20576,-0.7628040322012064,3,0.0
20577,-0.7628040322012064,3,0.0
20578,-0.7628040322012064,3,0.0
20579,-0.6413176766196872,20,0.25
20582,-0.8444630817503529,17,0.0
20583,-0.845707592692661,20,0.0
20585,-0.845707592692661,20,0.0
20586,-0.841719251700359,12,0.0
20588,-0.841719251700359,12,0.0
20591,-0.8443435468598685,15,0.0
20592,-0.6760469904989107,13,0.15384615384615385
20593,-0.8416921884671007,11,0.0
20595,-0.7628040098308163,3,0.0
20596,-0.7628040098308163,3,0.0
20597,-0.7628040098308163,3,0.0
20598,-0.7628040098308163,3,0.0
20599,-0.8168986437715338,5,0.0
20600,-0.7628040098308163,3,0.0
20601,-0.7628040098308163,3,0.0
20602,-0.8428306703820889,13,0.0
20605,-0.8449219139051592,18,0.0
20607,-0.8443435468598685,15,0.0
20609,-0.7643579234989771,3,0.0
20610,-0.7643579234989771,3,0.0
20611,-0.7661444913975686,3,0.0
20612,-0.7661444913975686,3,0.0
20613,-0.7661444913975686,3,0.0
20614,-0.7661444913975686,3,0.0
