,t_spike,l_spike,t_seizure,l_seizure,t_lpd,l_lpd,t_gpd,l_gpd,t_lrda,l_lrda,t_grda,l_grda
t_spike,1.0,0.15059876472640135,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955
l_spike,0.15059876472640135,1.0,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675
t_seizure,0.22411929798050675,0.03552851518653955,1.0,0.15059876472640135,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955
l_seizure,0.03552851518653955,0.22411929798050675,0.15059876472640135,1.0,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675
t_lpd,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,1.0,0.15059876472640135,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955
l_lpd,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.15059876472640135,1.0,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675
t_gpd,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,1.0,0.15059876472640135,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955
l_gpd,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.15059876472640135,1.0,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675
t_lrda,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,1.0,0.15059876472640135,0.22411929798050675,0.03552851518653955
l_lrda,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.15059876472640135,1.0,0.03552851518653955,0.22411929798050675
t_grda,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,1.0,0.15059876472640135
l_grda,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.03552851518653955,0.22411929798050675,0.15059876472640135,1.0
