,t_spike,l_spike,t_seizure,l_seizure,t_lpd,l_lpd,t_gpd,l_gpd,t_lrda,l_lrda,t_grda,l_grda
t_spike,1.0,-0.07250061099561994,0.00988886159714753,-0.06825411975799812,-0.0001292316800774643,-0.22453917153481573,-0.001228163051236482,-0.2519086227040336,-0.0018628249916395239,-0.2036559332899008,-0.001987177852254351,-0.25488038038083927
l_spike,-0.07250061099561994,1.0,-0.04867586123021794,0.47025,0.0037327744215241644,0.47025,0.006063714609704352,0.47025,-0.005652874138821945,0.47025,-0.003337755079724965,0.47025
t_seizure,0.00988886159714753,-0.04867586123021794,1.0,0.02416110445323908,-0.00031639554372358837,-0.02891225916170112,0.00040030087137093567,-0.03134356475200372,0.004571076002112676,0.025861720296247056,0.001302545056081301,0.010173654606384981
l_seizure,-0.06825411975799812,0.47025,0.02416110445323908,1.0,0.0008465737838277615,0.47025,0.0004886026442923827,0.47025,0.004732239151954879,0.47025,0.0007642288223437444,0.47025
t_lpd,-0.0001292316800774643,0.0037327744215241644,-0.00031639554372358837,0.0008465737838277615,1.0,0.003125052716683946,0.0007235269192001968,0.0014552256514420473,0.0007337284100346018,0.0014960007152486617,0.0006276639276123377,0.0015648989447447602
l_lpd,-0.22453917153481573,0.47025,-0.02891225916170112,0.47025,0.003125052716683946,1.0,0.001709016117146355,0.47025,0.004366454389143949,0.47025,0.0025820549538352043,0.47025
t_gpd,-0.001228163051236482,0.006063714609704352,0.00040030087137093567,0.0004886026442923827,0.0007235269192001968,0.001709016117146355,1.0,0.0013656810327215508,0.0008224867616766637,0.0025910226676384347,0.0005038351345227658,0.0008953705941416795
l_gpd,-0.2519086227040336,0.47025,-0.03134356475200372,0.47025,0.0014552256514420473,0.47025,0.0013656810327215508,1.0,0.004269214337925002,0.47025,0.0010400910057761256,0.47025
t_lrda,-0.0018628249916395239,-0.005652874138821945,0.004571076002112676,0.004732239151954879,0.0007337284100346018,0.004366454389143949,0.0008224867616766637,0.004269214337925002,1.0,0.019024409167957716,0.0028016611401897426,0.008012073240097794
l_lrda,-0.2036559332899008,0.47025,0.025861720296247056,0.47025,0.0014960007152486617,0.47025,0.0025910226676384347,0.47025,0.019024409167957716,1.0,0.0073598515670982925,0.47025
t_grda,-0.001987177852254351,-0.003337755079724965,0.001302545056081301,0.0007642288223437444,0.0006276639276123377,0.0025820549538352043,0.0005038351345227658,0.0010400910057761256,0.0028016611401897426,0.0073598515670982925,1.0,0.004053151133112229
l_grda,-0.25488038038083927,0.47025,0.010173654606384981,0.47025,0.0015648989447447602,0.47025,0.0008953705941416795,0.47025,0.008012073240097794,0.47025,0.004053151133112229,1.0
