seg_id,n_sources,sources,s_mean_sz,s_sd_sz,s_mean_lpd,s_sd_lpd,s_mean_gpd,s_sd_gpd,s_mean_lrda,s_sd_lrda,s_mean_grda,s_sd_grda,s_mean_iic,s_sd_iic,n_expert,n_experienced,n_novice,n_crowd,n_other,n_untiered,votes_seizure,votes_lpd,votes_gpd,votes_lrda,votes_grda,votes_other
20521,1,sparcnet50K,-0.820074,0.605087,-0.175647,0.566603,-0.216521,0.546467,-0.149853,0.546417,-0.226362,0.537105,2.03211,0.410502,1,1,0,0,0,0,0,0,0,0,0,2
20522,1,sparcnet50K,-0.865883,0.660958,-0.253021,0.621913,-0.29303,0.599954,-0.234974,0.59994,-0.298362,0.589442,1.97025,0.442187,1,1,0,0,0,0,0,0,0,0,0,2
20523,1,sparcnet50K,-0.734839,0.653064,-0.724538,0.419275,-0.596107,0.433897,-0.550967,0.471804,-0.64677,0.462704,2.3845,0.366995,13,0,0,0,0,0,0,0,0,0,0,13
20524,1,sparcnet50K,-0.762606,0.644838,-0.790952,0.415491,0.663179,0.166405,-0.549828,0.464173,0.791135,0.197506,1.12509,0.171803,21,1,0,0,0,0,0,0,3,0,4,15
20525,1,sparcnet50K,-0.872796,0.649457,-0.240477,0.609827,-0.277155,0.587984,-0.219733,0.587124,-0.282193,0.578787,1.96844,0.429913,1,1,0,0,0,0,0,0,0,0,0,2
20526,1,sparcnet50K,-0.887932,0.636391,-0.235528,0.595581,-0.269026,0.57382,-0.209223,0.573852,-0.277248,0.565714,1.98899,0.421685,1,1,0,0,0,0,0,0,0,0,0,2
20527,1,sparcnet50K,-0.761102,0.663329,-0.789028,0.429538,-0.538618,0.464953,-0.569918,0.477399,1.41009,0.140927,1.04178,0.170213,21,1,0,0,0,0,0,0,1,0,7,14
20528,1,sparcnet50K,-0.788196,0.603745,-0.812778,0.390428,0.94664,0.126526,-0.592685,0.437101,-0.737058,0.425109,1.37783,0.182475,21,1,0,0,0,0,0,0,6,0,0,16
20529,1,sparcnet50K,-0.834758,0.664451,-0.197609,0.622327,-0.23813,0.599616,-0.177736,0.598063,-0.241298,0.591316,2.01652,0.431398,1,1,0,0,0,0,0,0,0,0,0,2
20530,1,sparcnet50K,-0.848073,0.616699,-0.20314,0.576852,-0.238263,0.556315,-0.177347,0.557346,-0.241018,0.544906,1.99022,0.41436,1,1,0,0,0,0,0,0,0,0,0,2
20531,1,sparcnet50K,-0.926081,0.680739,-0.29639,0.64877,-0.328183,0.627295,-0.272445,0.628244,1.92969,0.328304,-0.281745,0.669673,1,1,0,0,0,0,0,0,0,0,2,0
20532,2,iiic_crowdsourcing:kong2025:crowd|sparcnet50K,-1.21691,0.518829,-0.663285,0.310542,-0.396065,0.283304,-0.717858,0.316994,2.57779,0.129976,-0.624564,0.21977,21,8,29,12,0,0,0,3,4,4,56,6
20533,3,iiic_crowdsourcing:kong2025:crowd|iiic_crowdsourcing:kong2025:expert|sparcnet50K,1.50105,0.0870983,-1.12408,0.399296,0.219523,0.160271,-1.33003,0.41587,-1.14304,0.366768,0.682612,0.104798,22,6,37,9,0,0,51,1,6,0,2,17
20534,1,sparcnet50K,-0.679839,0.67138,-0.664472,0.428928,-0.538404,0.446577,-0.470168,0.486101,1.04362,0.181689,1.38222,0.205977,19,1,0,0,0,0,0,0,0,0,4,16
20535,3,iiic_crowdsourcing:kong2025:crowd|iiic_crowdsourcing:kong2025:expert|sparcnet50K,0.680086,0.0841759,-0.873624,0.359828,-1.06066,0.384432,-0.835579,0.337711,-1.41344,0.405254,1.99208,0.104328,20,7,42,7,0,0,15,2,1,3,0,59
20536,1,sparcnet50K,-0.878787,0.617317,-0.240531,0.584945,-0.27617,0.565239,-0.216888,0.565398,-0.283967,0.554096,1.98846,0.414058,1,1,0,0,0,0,0,0,0,0,0,2
20537,3,iiic_crowdsourcing:kong2025:crowd|iiic_crowdsourcing:kong2025:expert|sparcnet50K,1.29645,0.111241,-0.991736,0.455719,-0.211095,0.328309,-1.06388,0.461736,-1.06496,0.446542,1.00317,0.11915,19,4,25,8,0,0,28,1,5,1,1,21
20538,1,sparcnet50K,-0.890554,0.63325,-0.261674,0.581879,-0.29907,0.559849,-0.242305,0.558462,-0.302732,0.55221,1.97778,0.414419,1,1,0,0,0,0,0,0,0,0,0,2
20539,1,sparcnet50K,-0.900922,0.691728,-0.286076,0.651977,-0.324576,0.629856,-0.265873,0.629905,-0.339907,0.616403,1.97403,0.465799,1,1,0,0,0,0,0,0,0,0,0,2
20540,1,sparcnet50K,-0.909851,0.674982,0.417863,0.776123,-0.316061,0.603258,-0.259689,0.602594,-0.32817,0.591327,0.976779,0.465872,1,1,0,0,0,0,0,1,0,0,0,1
20541,1,sparcnet50K,-0.620777,0.726107,-0.627079,0.465183,-0.494699,0.483792,0.302438,0.445217,0.178027,0.385662,1.61009,0.285266,12,0,0,0,0,0,0,0,0,1,1,10
20542,1,sparcnet50K,-0.73161,0.639094,-0.710605,0.408308,-0.582303,0.42622,-0.510486,0.462532,-0.627854,0.454539,2.51557,0.345703,19,1,0,0,0,0,0,0,0,0,0,20
20543,1,sparcnet50K,-0.858661,0.62844,-0.231986,0.586654,-0.274132,0.564109,-0.215044,0.565109,-0.277016,0.556397,1.97745,0.425396,1,1,0,0,0,0,0,0,0,0,0,2
20544,1,sparcnet50K,1.8298,0.198624,-0.759753,0.464597,1.19374,0.123969,-0.622084,0.502225,-0.75308,0.493812,-1.27988,0.475035,19,0,0,0,0,0,12,0,7,0,0,0
20545,2,iiic_crowdsourcing:kong2025:crowd|sparcnet50K,1.12924,0.0829884,-1.13664,0.468303,-0.516507,0.39267,-1.10926,0.440783,-1.06387,0.399636,1.2657,0.0964319,16,8,23,9,0,0,28,0,3,0,1,26
