bank,noise,level,rep,pair_key,n_iiic,n_spike,n_questions,stop_reason,all_resolved,clear,is_borderline,false_pass,false_pass_n,false_fail,false_fail_n,skill_err
5,A,-0.5,0,A_l-0.5_n0000,360,60,188,all_resolved,1,1,0,0,7,0,0,0.2246428571669695
8,A,-0.5,0,A_l-0.5_n0000,360,60,191,all_active_resolved,0,1,0,1,7,0,0,0.6116701407460844
5,A,-0.5,1,A_l-0.5_n0001,360,60,140,all_resolved,1,1,0,0,7,0,0,0.4017772633079201
8,A,-0.5,1,A_l-0.5_n0001,360,60,165,all_resolved,1,1,0,0,7,0,0,0.466403314650639
5,A,-0.5,2,A_l-0.5_n0002,360,60,153,all_resolved,1,1,0,0,7,0,0,0.23092649145249725
8,A,-0.5,2,A_l-0.5_n0002,360,60,173,all_resolved,1,1,0,0,7,0,0,0.4396750956036816
5,A,-0.5,3,A_l-0.5_n0003,360,60,165,all_resolved,1,1,0,0,7,0,0,0.3291527804574814
8,A,-0.5,3,A_l-0.5_n0003,360,60,155,all_resolved,1,1,0,0,7,0,0,0.28049954499610413
5,A,-0.5,4,A_l-0.5_n0004,360,60,166,all_resolved,1,1,0,0,7,0,0,0.2522983409906964
8,A,-0.5,4,A_l-0.5_n0004,360,60,150,all_resolved,1,1,0,0,7,0,0,0.24267649859545112
5,A,-0.5,5,A_l-0.5_n0005,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3007002851686131
8,A,-0.5,5,A_l-0.5_n0005,360,60,140,all_resolved,1,1,0,0,7,0,0,0.39466214732751004
5,A,-0.5,6,A_l-0.5_n0006,360,60,140,all_resolved,1,1,0,0,7,0,0,0.29454886802898084
8,A,-0.5,6,A_l-0.5_n0006,360,60,173,all_resolved,1,1,0,0,7,0,0,0.2967198333674321
5,A,-0.5,7,A_l-0.5_n0007,360,60,141,all_resolved,1,1,0,0,7,0,0,0.16726380850479142
8,A,-0.5,7,A_l-0.5_n0007,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2875784222492874
5,A,-0.5,8,A_l-0.5_n0008,360,60,143,all_resolved,1,1,0,0,7,0,0,0.24901776057808636
8,A,-0.5,8,A_l-0.5_n0008,360,60,141,all_resolved,1,1,0,0,7,0,0,0.2978995459634267
5,A,-0.5,9,A_l-0.5_n0009,360,60,149,all_resolved,1,1,0,0,7,0,0,0.38246141838943
8,A,-0.5,9,A_l-0.5_n0009,360,60,158,all_resolved,1,1,0,0,7,0,0,0.20418935012651657
5,A,-0.5,10,A_l-0.5_n0010,360,60,145,all_resolved,1,1,0,0,7,0,0,0.23305989769456895
8,A,-0.5,10,A_l-0.5_n0010,360,60,145,all_resolved,1,1,0,0,7,0,0,0.330945885988294
5,A,-0.5,11,A_l-0.5_n0011,360,60,140,all_resolved,1,1,0,0,7,0,0,0.37785558312523276
8,A,-0.5,11,A_l-0.5_n0011,360,60,149,all_resolved,1,1,0,0,7,0,0,0.4263069550899443
5,A,-0.5,12,A_l-0.5_n0012,360,60,157,all_resolved,1,1,0,0,7,0,0,0.42230840024642696
8,A,-0.5,12,A_l-0.5_n0012,360,60,201,all_active_resolved,0,1,0,0,7,0,0,0.39573139683379754
5,A,-0.5,13,A_l-0.5_n0013,360,60,160,all_resolved,1,1,0,0,7,0,0,0.3491904083659944
8,A,-0.5,13,A_l-0.5_n0013,360,60,150,all_resolved,1,1,0,0,7,0,0,0.3541852734788088
5,A,-0.5,14,A_l-0.5_n0014,360,60,140,all_resolved,1,1,0,0,7,0,0,0.4076714291708005
8,A,-0.5,14,A_l-0.5_n0014,360,60,140,all_resolved,1,1,0,0,7,0,0,0.19054743391923287
5,A,-0.5,15,A_l-0.5_n0015,360,60,140,all_resolved,1,1,0,0,7,0,0,0.20165683846116436
8,A,-0.5,15,A_l-0.5_n0015,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2181899112868451
5,A,-0.5,16,A_l-0.5_n0016,360,60,144,all_resolved,1,1,0,0,7,0,0,0.40416741984186
8,A,-0.5,16,A_l-0.5_n0016,360,60,144,all_resolved,1,1,0,1,7,0,0,0.49661849548662934
5,A,-0.5,17,A_l-0.5_n0017,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3438874294098611
8,A,-0.5,17,A_l-0.5_n0017,360,60,152,all_resolved,1,1,0,0,7,0,0,0.11824866080694492
5,A,-0.5,18,A_l-0.5_n0018,360,60,140,all_resolved,1,1,0,0,7,0,0,0.26018270597452736
8,A,-0.5,18,A_l-0.5_n0018,360,60,140,all_resolved,1,1,0,0,7,0,0,0.18109525921430403
5,A,-0.5,19,A_l-0.5_n0019,360,60,167,all_resolved,1,1,0,1,7,0,0,0.5719834347316856
8,A,-0.5,19,A_l-0.5_n0019,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3382155168217465
5,A,-0.5,20,A_l-0.5_n0020,360,60,141,all_resolved,1,1,0,0,7,0,0,0.1750855132937271
8,A,-0.5,20,A_l-0.5_n0020,360,60,173,all_resolved,1,1,0,0,7,0,0,0.3364032366796234
5,A,-0.5,21,A_l-0.5_n0021,360,60,152,all_resolved,1,1,0,0,7,0,0,0.34036580149762624
8,A,-0.5,21,A_l-0.5_n0021,360,60,178,all_resolved,1,1,0,0,7,0,0,0.27179490679996343
5,A,-0.5,22,A_l-0.5_n0022,360,60,143,all_resolved,1,1,0,0,7,0,0,0.34724739941721594
8,A,-0.5,22,A_l-0.5_n0022,360,60,169,all_resolved,1,1,0,0,7,0,0,0.33783267046580717
5,A,-0.5,23,A_l-0.5_n0023,360,60,150,all_resolved,1,1,0,0,7,0,0,0.41891234676347694
8,A,-0.5,23,A_l-0.5_n0023,360,60,140,all_resolved,1,1,0,0,7,0,0,0.26608397860783534
5,A,-0.5,24,A_l-0.5_n0024,360,60,142,all_resolved,1,1,0,0,7,0,0,0.3117829798347345
8,A,-0.5,24,A_l-0.5_n0024,360,60,158,all_resolved,1,1,0,0,7,0,0,0.3763342609010808
5,A,-0.5,25,A_l-0.5_n0025,360,60,190,all_active_resolved,0,1,0,0,7,0,0,0.4444638034219999
8,A,-0.5,25,A_l-0.5_n0025,360,60,162,all_resolved,1,1,0,0,7,0,0,0.1853015051477563
5,A,-0.5,26,A_l-0.5_n0026,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3589882435165016
8,A,-0.5,26,A_l-0.5_n0026,360,60,145,all_resolved,1,1,0,1,7,0,0,0.5427979177420992
5,A,-0.5,27,A_l-0.5_n0027,360,60,140,all_resolved,1,1,0,0,7,0,0,0.13782823568288924
8,A,-0.5,27,A_l-0.5_n0027,360,60,167,all_resolved,1,1,0,0,7,0,0,0.30488080413906316
5,A,-0.5,28,A_l-0.5_n0028,360,60,141,all_resolved,1,1,0,0,7,0,0,0.3097302983788727
8,A,-0.5,28,A_l-0.5_n0028,360,60,170,all_resolved,1,1,0,0,7,0,0,0.3865555396161291
5,A,-0.5,29,A_l-0.5_n0029,360,60,158,all_resolved,1,1,0,0,7,0,0,0.31379663858984186
8,A,-0.5,29,A_l-0.5_n0029,360,60,140,all_resolved,1,1,0,0,7,0,0,0.15925330663789078
5,A,-0.5,30,A_l-0.5_n0030,360,60,158,all_resolved,1,1,0,0,7,0,0,0.2871398871869797
8,A,-0.5,30,A_l-0.5_n0030,360,60,149,all_resolved,1,1,0,0,7,0,0,0.21353913411097963
5,A,-0.5,31,A_l-0.5_n0031,360,60,146,all_resolved,1,1,0,0,7,0,0,0.31083261082504776
8,A,-0.5,31,A_l-0.5_n0031,360,60,140,all_resolved,1,1,0,0,7,0,0,0.18975754454354624
5,A,-0.5,32,A_l-0.5_n0032,360,60,160,all_resolved,1,1,0,0,7,0,0,0.3924018125068658
8,A,-0.5,32,A_l-0.5_n0032,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3658782223883947
5,A,-0.5,33,A_l-0.5_n0033,360,60,169,all_resolved,1,1,0,0,7,0,0,0.3171179271284133
8,A,-0.5,33,A_l-0.5_n0033,360,60,232,all_resolved,1,1,0,0,7,0,0,0.1443395128424034
5,A,-0.5,34,A_l-0.5_n0034,360,60,140,all_resolved,1,1,0,0,7,0,0,0.1925615047926607
8,A,-0.5,34,A_l-0.5_n0034,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.3115103517761653
5,A,-0.5,35,A_l-0.5_n0035,360,60,142,all_resolved,1,1,0,0,7,0,0,0.29155593026017196
8,A,-0.5,35,A_l-0.5_n0035,360,60,154,all_resolved,1,1,0,0,7,0,0,0.4624997734009701
5,A,-0.5,36,A_l-0.5_n0036,360,60,204,all_resolved,1,1,0,0,7,0,0,0.3212345781728675
8,A,-0.5,36,A_l-0.5_n0036,360,60,140,all_resolved,1,1,0,1,7,0,0,0.3637777842511803
5,A,-0.5,37,A_l-0.5_n0037,360,60,162,all_resolved,1,1,0,0,7,0,0,0.3238190016829086
8,A,-0.5,37,A_l-0.5_n0037,360,60,227,all_active_resolved,0,1,0,1,7,0,0,0.5264952843795608
5,A,-0.5,38,A_l-0.5_n0038,360,60,142,all_resolved,1,1,0,0,7,0,0,0.28419345984285127
8,A,-0.5,38,A_l-0.5_n0038,360,60,143,all_resolved,1,1,0,0,7,0,0,0.23804156047229472
5,A,-0.5,39,A_l-0.5_n0039,360,60,140,all_resolved,1,1,0,0,7,0,0,0.21603823096932762
8,A,-0.5,39,A_l-0.5_n0039,360,60,186,all_active_resolved,0,1,0,0,7,0,0,0.4761781192564981
5,A,-0.5,40,A_l-0.5_n0040,360,60,153,all_resolved,1,1,0,1,7,0,0,0.4633644655285143
8,A,-0.5,40,A_l-0.5_n0040,360,60,148,all_resolved,1,1,0,0,7,0,0,0.2913106626267596
5,A,-0.5,41,A_l-0.5_n0041,360,60,167,all_resolved,1,1,0,0,7,0,0,0.39869091149375374
8,A,-0.5,41,A_l-0.5_n0041,360,60,145,all_resolved,1,1,0,0,7,0,0,0.23565350879823077
5,A,-0.5,42,A_l-0.5_n0042,360,60,145,all_resolved,1,1,0,0,7,0,0,0.26101065878792035
8,A,-0.5,42,A_l-0.5_n0042,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3014585649073097
5,A,-0.5,43,A_l-0.5_n0043,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3982505640098653
8,A,-0.5,43,A_l-0.5_n0043,360,60,173,all_resolved,1,1,0,0,7,0,0,0.2041840410776254
5,A,-0.5,44,A_l-0.5_n0044,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3322605027496018
8,A,-0.5,44,A_l-0.5_n0044,360,60,168,all_resolved,1,1,0,0,7,0,0,0.46031674942879447
5,A,-0.5,45,A_l-0.5_n0045,360,60,146,all_resolved,1,1,0,1,7,0,0,0.4611066600464579
8,A,-0.5,45,A_l-0.5_n0045,360,60,174,all_resolved,1,1,0,0,7,0,0,0.24986206406045364
5,A,-0.5,46,A_l-0.5_n0046,360,60,170,all_resolved,1,1,0,0,7,0,0,0.27641160613600063
8,A,-0.5,46,A_l-0.5_n0046,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.3535321468505872
