min_raters,min_expert,noise,level,pool_iiic,pool_spike,n_questions,stop_reason,all_resolved,false_pass,false_pass_n,false_fail,false_fail_n,skill_err
1,0,A,-0.5,69806,19332,143,all_resolved,1,0,7,0,0,0.3813682562978603
1,0,A,-0.5,69806,19332,163,all_resolved,1,0,7,0,0,0.41068708366744966
1,0,A,-0.5,69806,19332,140,all_resolved,1,0,7,0,0,0.23116605028668305
1,0,A,-0.5,69806,19332,197,all_resolved,1,0,7,0,0,0.27774846227450656
1,0,A,-0.5,69806,19332,300,bank_exhausted,0,0,7,0,0,0.431569595934139
1,0,A,-0.5,69806,19332,147,all_resolved,1,0,7,0,0,0.35976384764763436
1,0,A,-0.5,69806,19332,140,all_resolved,1,0,7,0,0,0.294458142539278
1,0,A,-0.5,69806,19332,142,all_resolved,1,0,7,0,0,0.3317529278562967
1,0,A,-0.5,69806,19332,152,all_resolved,1,0,7,0,0,0.2572695019466516
1,0,A,-0.5,69806,19332,150,all_resolved,1,0,7,0,0,0.3004298149761833
1,0,A,0.0,69806,19332,277,all_active_resolved,0,1,6,0,0,0.284555531563869
1,0,A,0.0,69806,19332,300,bank_exhausted,0,0,6,0,0,0.43202044416120194
1,0,A,0.0,69806,19332,300,bank_exhausted,0,0,6,0,0,0.2688009592330786
1,0,A,0.0,69806,19332,283,all_active_resolved,0,1,6,0,0,0.4286253777536922
1,0,A,0.0,69806,19332,300,bank_exhausted,0,1,6,0,0,0.4852962345293154
1,0,A,0.0,69806,19332,300,bank_exhausted,0,0,6,0,0,0.520588557829971
1,0,A,0.0,69806,19332,300,bank_exhausted,0,1,6,0,0,0.5968753602259049
1,0,A,0.0,69806,19332,300,bank_exhausted,0,1,6,0,0,0.34741006293706844
1,0,A,0.0,69806,19332,300,bank_exhausted,0,0,6,0,0,0.4422306206935967
1,0,A,0.0,69806,19332,300,bank_exhausted,0,1,6,0,0,0.5248418487215946
1,0,A,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.421864135775702
1,0,A,0.4,69806,19332,156,all_resolved,1,0,0,0,0,0.6256311779116455
1,0,A,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.3866939371055541
1,0,A,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.48774340072350697
1,0,A,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.580195855689505
1,0,A,0.4,69806,19332,224,all_resolved,1,0,0,0,0,0.6865253621159499
1,0,A,0.4,69806,19332,204,all_active_resolved,0,0,0,0,0,0.6493905619325344
1,0,A,0.4,69806,19332,167,all_resolved,1,0,0,0,0,0.5261005668813691
