session_id,K,l_level,n_min,alpha,r_star,max_consec,max_same_domain_run,max_iiic_run,n_particles,max_questions,n_questions,stop_reason,n_pass,n_fail,n_refer_borderline,n_refer_uninformative,n_pending,n_resolved,max_n_per_task,min_n_per_task,mean_n_per_task,auroc_mean,auroc_hw_mean,elapsed_s,lingering_task
C0_d1_n00,7,-1.2,20,0.25,0.3,0,20,5,300,300,146,all_resolved,0,7,0,0,0,7,26,20,20.857142857142858,0.6960225621886051,0.12258806910163998,22.954309948021546,1
C5_d1_n00,7,-1.2,20,0.25,0.3,5,20,5,300,300,146,all_resolved,0,7,0,0,0,7,26,20,20.857142857142858,0.6960225621886051,0.12258806910163998,23.37635948706884,1
C8_d1_n00,7,-1.2,20,0.25,0.3,8,20,5,300,300,146,all_resolved,0,7,0,0,0,7,26,20,20.857142857142858,0.6960225621886051,0.12258806910163998,19.07613282999955,1
C12_d1_n00,7,-1.2,20,0.25,0.3,12,20,5,300,300,146,all_resolved,0,7,0,0,0,7,26,20,20.857142857142858,0.6960225621886051,0.12258806910163998,21.197698657982983,1
C20_d1_n00,7,-1.2,20,0.25,0.3,20,20,5,300,300,146,all_resolved,0,7,0,0,0,7,26,20,20.857142857142858,0.6960225621886051,0.12258806910163998,22.164379477966577,1
C0_d1_n01,7,-1.2,20,0.25,0.3,0,30,30,300,300,178,all_resolved,1,6,0,0,0,7,58,20,25.428571428571427,0.7009574215718525,0.1098717465362972,22.295946625992656,1
C5_d1_n01,7,-1.2,20,0.25,0.3,5,20,5,300,300,155,all_resolved,0,7,0,0,0,7,34,20,22.142857142857142,0.6925794406101244,0.11889656997527617,21.24575429293327,1
C8_d1_n01,7,-1.2,20,0.25,0.3,8,20,8,300,300,185,all_resolved,1,6,0,0,0,7,61,20,26.428571428571427,0.706247933941899,0.10626226860495121,21.84223411406856,1
C12_d1_n01,7,-1.2,20,0.25,0.3,12,20,12,300,300,181,all_resolved,1,6,0,0,0,7,59,20,25.857142857142858,0.7011883001386124,0.10692290138560072,22.739133938914165,1
C20_d1_n01,7,-1.2,20,0.25,0.3,20,20,20,300,300,229,all_resolved,1,6,0,0,0,7,106,20,32.714285714285715,0.69990081916404,0.10302512322872258,26.523515171953477,1
C0_d1_n02,7,-1.2,20,0.25,0.3,0,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.6909296573692768,0.09852259347585839,20.75213946204167,1
C5_d1_n02,7,-1.2,20,0.25,0.3,5,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.6909296573692768,0.09852259347585839,21.049491879995912,1
C8_d1_n02,7,-1.2,20,0.25,0.3,8,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.6909296573692768,0.09852259347585839,18.41641152394004,1
C12_d1_n02,7,-1.2,20,0.25,0.3,12,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.6909296573692768,0.09852259347585839,19.81161928700749,1
C20_d1_n02,7,-1.2,20,0.25,0.3,20,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.6909296573692768,0.09852259347585839,20.722464596969076,1
C0_d1_n03,7,-1.2,20,0.25,0.3,0,20,10,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7098935616997573,0.10809439714552181,22.430046333000064,1
C5_d1_n03,7,-1.2,20,0.25,0.3,5,20,5,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7192021814538657,0.10818132997353039,21.053405462997034,1
C8_d1_n03,7,-1.2,20,0.25,0.3,8,20,8,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7091871378213324,0.1108080818436932,22.25153947493527,1
C12_d1_n03,7,-1.2,20,0.25,0.3,12,20,10,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7098935616997573,0.10809439714552181,21.378246444044635,1
C20_d1_n03,7,-1.2,20,0.25,0.3,20,20,10,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7098935616997573,0.10809439714552181,22.491699354955927,1
C0_d1_n04,7,-1.2,20,0.25,0.3,0,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7391262665536694,0.10681740113603651,16.36259544605855,1
C5_d1_n04,7,-1.2,20,0.25,0.3,5,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7391262665536694,0.10681740113603651,20.67989434802439,1
C8_d1_n04,7,-1.2,20,0.25,0.3,8,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7391262665536694,0.10681740113603651,23.02559516695328,1
C12_d1_n04,7,-1.2,20,0.25,0.3,12,20,4,300,300,140,all_resolved,1,6,0,0,0,7,20,20,20.0,0.7391262665536694,0.10681740113603651,23.167829304002225,1
