arm,level,concord,seed,n_ad6,stop_reason,n_joint_shadow,terminal_post_corr,t1_max_dev,verdicts,true_l
ON,-0.6,concordant,55000,207,all_resolved,,0.052142021341667864,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55000,184,all_resolved,,0.0020939485055177275,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55001,197,all_resolved,,0.05361035201577041,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55001,209,all_resolved,,0.03902443863364362,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55002,192,all_resolved,,0.00595312464315421,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55002,186,all_resolved,,-0.007300795732012114,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55003,189,all_resolved,,0.027410362509137726,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55003,190,all_resolved,,-0.02789532042206028,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55004,177,all_resolved,,0.02970590812620383,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55004,220,all_resolved,,-0.014407103707816444,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|PASS|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55005,187,all_resolved,,0.030810301337871875,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55005,196,all_resolved,,-0.015584757451970707,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55006,185,all_resolved,,-0.0016242420721624784,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55006,192,all_resolved,,-0.014321256424526842,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55007,212,all_resolved,,-0.010992891963916382,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55007,194,all_resolved,,-0.0040466983991829086,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55008,204,all_resolved,,0.048637220366425225,0.0,FAIL|PASS|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55008,195,all_resolved,,-0.0003313097802991578,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55009,191,all_resolved,,0.0023837297657557164,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55009,193,all_resolved,,-0.007260541031898818,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55010,205,all_resolved,,0.022135219468498137,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55010,193,all_resolved,,0.005834140817327506,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55011,186,all_resolved,,0.009262013388078796,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55011,192,all_resolved,,-0.016308298966252115,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55012,203,all_resolved,203,0.03562884795005996,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55012,189,all_resolved,,0.021519225123672166,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55013,205,all_resolved,,0.016802808591670798,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55013,256,all_resolved,,-0.028282304609784266,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55014,184,all_resolved,,0.03266063019283666,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55014,192,all_resolved,,-0.01129317708987058,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55015,196,all_resolved,,0.00293703376069585,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55015,238,all_resolved,,-0.016784517103309214,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55016,198,all_resolved,,0.04448189218758275,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55016,181,all_resolved,,-0.0138291717200804,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55017,186,all_resolved,,0.013977659012184921,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55017,203,all_resolved,,0.00837692551989542,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55018,191,all_resolved,191,-0.0012516378494394176,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55018,213,all_resolved,,0.006902933815480297,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55019,204,all_resolved,,0.03380068486618569,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55019,300,bank_exhausted,,0.03125929740569178,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|REFER_BORDERLINE|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55020,180,all_resolved,,0.04160587545928221,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55020,186,all_resolved,,-0.02164726138700211,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55021,183,all_resolved,,0.03953399422098195,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55021,180,all_resolved,,0.016015897482837754,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55022,181,all_resolved,,0.009852976469828623,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55022,300,bank_exhausted,,-0.011697557458376768,0.0,REFER_BORDERLINE|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55023,180,all_resolved,,-0.008720663788777035,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55023,185,all_resolved,,-0.004582643749717208,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55024,278,all_resolved,,0.025006229216675835,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55024,295,all_resolved,,-0.007363351050110624,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55025,188,all_resolved,,0.007475213291105345,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55025,194,all_resolved,,0.005069285095242153,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55026,190,all_resolved,,0.04278854541101271,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
