seg_id,rater_id,label_type,value,source_dataset
92680,10123559,domain1,domain1,extset_2025_task1
92680,10187180,domain1,domain1,extset_2025_task1
92680,10282558,domain1,domain1,extset_2025_task1
92680,10316516,domain1,domain1,extset_2025_task1
92680,10382225,domain1,domain1,extset_2025_task1
92680,10406396,domain1,domain1,extset_2025_task1
92680,10427522,domain1,non-domain1,extset_2025_task1
92680,10427523,domain1,domain1,extset_2025_task1
92680,10437599,domain1,non-domain1,extset_2025_task1
92680,10467362,domain1,domain1,extset_2025_task1
92680,10489707,domain1,non-domain1,extset_2025_task1
92680,10565246,domain1,domain1,extset_2025_task1
92680,10572980,domain1,domain1,extset_2025_task1
92680,10578973,domain1,non-domain1,extset_2025_task1
92680,10582334,domain1,domain1,extset_2025_task1
92680,10592156,domain1,domain1,extset_2025_task1
92680,10601918,domain1,non-domain1,extset_2025_task1
92680,10602990,domain1,non-domain1,extset_2025_task1
92680,10603919,domain1,domain1,extset_2025_task1
92680,10604031,domain1,non-domain1,extset_2025_task1
92680,10604555,domain1,domain1,extset_2025_task1
92680,10610357,domain1,domain1,extset_2025_task1
93373,10123559,domain1,non-domain1,extset_2025_task1
93373,10187180,domain1,non-domain1,extset_2025_task1
93373,10195961,domain1,domain1,extset_2025_task1
93373,10282558,domain1,domain1,extset_2025_task1
93373,10299374,domain1,domain1,extset_2025_task1
93373,10363431,domain1,non-domain1,extset_2025_task1
93373,10382225,domain1,non-domain1,extset_2025_task1
93373,10385861,domain1,non-domain1,extset_2025_task1
93373,10406396,domain1,non-domain1,extset_2025_task1
93373,10410661,domain1,non-domain1,extset_2025_task1
93373,10421122,domain1,non-domain1,extset_2025_task1
93373,10427522,domain1,non-domain1,extset_2025_task1
93373,10427523,domain1,non-domain1,extset_2025_task1
93373,10437599,domain1,non-domain1,extset_2025_task1
93373,10479788,domain1,non-domain1,extset_2025_task1
93373,10489707,domain1,domain1,extset_2025_task1
93373,10501111,domain1,domain1,extset_2025_task1
93373,10565246,domain1,domain1,extset_2025_task1
93373,10578973,domain1,non-domain1,extset_2025_task1
93373,10582334,domain1,non-domain1,extset_2025_task1
93373,10587421,domain1,non-domain1,extset_2025_task1
93373,10596802,domain1,domain1,extset_2025_task1
93373,10601918,domain1,non-domain1,extset_2025_task1
93373,10602990,domain1,non-domain1,extset_2025_task1
93373,10604555,domain1,non-domain1,extset_2025_task1
93373,10605631,domain1,non-domain1,extset_2025_task1
93373,10605875,domain1,domain1,extset_2025_task1
93373,10608519,domain1,non-domain1,extset_2025_task1
93373,10609947,domain1,non-domain1,extset_2025_task1
91275,10043096,domain1,non-domain1,extset_2025_task1
91275,10123559,domain1,non-domain1,extset_2025_task1
91275,10181335,domain1,non-domain1,extset_2025_task1
91275,10187180,domain1,non-domain1,extset_2025_task1
91275,10235741,domain1,non-domain1,extset_2025_task1
91275,10262204,domain1,non-domain1,extset_2025_task1
91275,10268686,domain1,non-domain1,extset_2025_task1
91275,10282558,domain1,non-domain1,extset_2025_task1
91275,10296241,domain1,non-domain1,extset_2025_task1
91275,10299374,domain1,non-domain1,extset_2025_task1
91275,10363431,domain1,non-domain1,extset_2025_task1
91275,10363653,domain1,non-domain1,extset_2025_task1
91275,10364505,domain1,non-domain1,extset_2025_task1
91275,10376803,domain1,non-domain1,extset_2025_task1
91275,10382225,domain1,non-domain1,extset_2025_task1
91275,10393526,domain1,non-domain1,extset_2025_task1
91275,10401878,domain1,non-domain1,extset_2025_task1
91275,10406396,domain1,non-domain1,extset_2025_task1
91275,10415824,domain1,non-domain1,extset_2025_task1
91275,10421122,domain1,non-domain1,extset_2025_task1
91275,10427522,domain1,non-domain1,extset_2025_task1
91275,10427523,domain1,non-domain1,extset_2025_task1
91275,10437599,domain1,non-domain1,extset_2025_task1
91275,10453167,domain1,non-domain1,extset_2025_task1
91275,10467362,domain1,non-domain1,extset_2025_task1
91275,10475646,domain1,domain1,extset_2025_task1
91275,10479788,domain1,non-domain1,extset_2025_task1
91275,10488940,domain1,non-domain1,extset_2025_task1
91275,10489707,domain1,non-domain1,extset_2025_task1
91275,10490047,domain1,non-domain1,extset_2025_task1
91275,10492981,domain1,non-domain1,extset_2025_task1
91275,10501111,domain1,non-domain1,extset_2025_task1
91275,10508965,domain1,non-domain1,extset_2025_task1
91275,10509395,domain1,non-domain1,extset_2025_task1
91275,10518592,domain1,non-domain1,extset_2025_task1
91275,10523763,domain1,non-domain1,extset_2025_task1
91275,10528824,domain1,non-domain1,extset_2025_task1
91275,10533257,domain1,non-domain1,extset_2025_task1
91275,10545920,domain1,non-domain1,extset_2025_task1
91275,10554066,domain1,non-domain1,extset_2025_task1
91275,10565246,domain1,non-domain1,extset_2025_task1
91275,10566370,domain1,non-domain1,extset_2025_task1
91275,10568295,domain1,non-domain1,extset_2025_task1
91275,10569668,domain1,non-domain1,extset_2025_task1
91275,10572722,domain1,non-domain1,extset_2025_task1
91275,10572980,domain1,non-domain1,extset_2025_task1
91275,10574935,domain1,non-domain1,extset_2025_task1
91275,10578973,domain1,non-domain1,extset_2025_task1
91275,10582334,domain1,non-domain1,extset_2025_task1
91275,10592156,domain1,non-domain1,extset_2025_task1
91275,10596802,domain1,non-domain1,extset_2025_task1
91275,10600349,domain1,non-domain1,extset_2025_task1
91275,10601639,domain1,non-domain1,extset_2025_task1
91275,10601918,domain1,non-domain1,extset_2025_task1
91275,10602929,domain1,non-domain1,extset_2025_task1
91275,10602990,domain1,non-domain1,extset_2025_task1
91275,10603601,domain1,non-domain1,extset_2025_task1
91275,10603919,domain1,non-domain1,extset_2025_task1
91275,10604272,domain1,non-domain1,extset_2025_task1
91275,10604555,domain1,non-domain1,extset_2025_task1
91275,10605631,domain1,non-domain1,extset_2025_task1
91275,10605875,domain1,non-domain1,extset_2025_task1
91275,10606748,domain1,non-domain1,extset_2025_task1
91275,10607669,domain1,non-domain1,extset_2025_task1
91275,10608122,domain1,non-domain1,extset_2025_task1
91275,10609837,domain1,non-domain1,extset_2025_task1
91275,10609849,domain1,domain1,extset_2025_task1
91275,10610357,domain1,non-domain1,extset_2025_task1
91275,10610458,domain1,non-domain1,extset_2025_task1
91275,10610469,domain1,non-domain1,extset_2025_task1
91275,10611061,domain1,non-domain1,extset_2025_task1
91275,10611266,domain1,non-domain1,extset_2025_task1
91275,10611392,domain1,non-domain1,extset_2025_task1
91275,10611528,domain1,non-domain1,extset_2025_task1
91275,10611861,domain1,domain1,extset_2025_task1
91275,10612178,domain1,non-domain1,extset_2025_task1
91275,10614849,domain1,non-domain1,extset_2025_task1
91275,10615121,domain1,non-domain1,extset_2025_task1
91275,10615212,domain1,non-domain1,extset_2025_task1
91275,10616407,domain1,non-domain1,extset_2025_task1
91275,10616663,domain1,non-domain1,extset_2025_task1
91275,10618413,domain1,non-domain1,extset_2025_task1
91275,10618609,domain1,non-domain1,extset_2025_task1
91871,10123559,domain1,domain1,extset_2025_task1
91871,10131059,domain1,non-domain1,extset_2025_task1
91871,10187180,domain1,non-domain1,extset_2025_task1
91871,10282558,domain1,non-domain1,extset_2025_task1
91871,10299374,domain1,non-domain1,extset_2025_task1
91871,10363431,domain1,domain1,extset_2025_task1
91871,10376803,domain1,non-domain1,extset_2025_task1
91871,10382225,domain1,non-domain1,extset_2025_task1
91871,10393526,domain1,domain1,extset_2025_task1
91871,10406396,domain1,non-domain1,extset_2025_task1
91871,10421122,domain1,non-domain1,extset_2025_task1
91871,10427522,domain1,domain1,extset_2025_task1
91871,10427523,domain1,non-domain1,extset_2025_task1
91871,10437599,domain1,non-domain1,extset_2025_task1
91871,10467362,domain1,domain1,extset_2025_task1
91871,10489707,domain1,non-domain1,extset_2025_task1
91871,10501111,domain1,domain1,extset_2025_task1
91871,10509395,domain1,domain1,extset_2025_task1
91871,10518592,domain1,domain1,extset_2025_task1
91871,10523763,domain1,domain1,extset_2025_task1
91871,10554066,domain1,domain1,extset_2025_task1
91871,10565246,domain1,domain1,extset_2025_task1
91871,10566370,domain1,non-domain1,extset_2025_task1
91871,10569668,domain1,non-domain1,extset_2025_task1
91871,10572722,domain1,non-domain1,extset_2025_task1
91871,10572980,domain1,non-domain1,extset_2025_task1
91871,10578973,domain1,non-domain1,extset_2025_task1
91871,10582334,domain1,domain1,extset_2025_task1
91871,10592156,domain1,non-domain1,extset_2025_task1
91871,10596802,domain1,non-domain1,extset_2025_task1
91871,10601918,domain1,domain1,extset_2025_task1
91871,10602929,domain1,non-domain1,extset_2025_task1
91871,10603919,domain1,non-domain1,extset_2025_task1
91871,10604031,domain1,non-domain1,extset_2025_task1
91871,10604555,domain1,domain1,extset_2025_task1
91871,10605833,domain1,non-domain1,extset_2025_task1
91871,10605875,domain1,domain1,extset_2025_task1
91871,10607266,domain1,non-domain1,extset_2025_task1
91871,10607669,domain1,non-domain1,extset_2025_task1
